"training_set_id";"period";"hour_number";"timestamp_cst";"hours_in_sample"
1;2019;325094;"2020-02-02 13:00:00";12.0
1;2019;325098;"2020-02-02 17:00:00";12.0
1;2019;325102;"2020-02-02 21:00:00";12.0
1;2019;325393;"2020-02-15 00:00:00";339.0
1;2019;325397;"2020-02-15 04:00:00";339.0
1;2019;325401;"2020-02-15 08:00:00";339.0
1;2019;325405;"2020-02-15 12:00:00";339.0
1;2019;325409;"2020-02-15 16:00:00";339.0
1;2019;325413;"2020-02-15 20:00:00";339.0
1;2019;326234;"2020-03-21 01:00:00";12.0
1;2019;326238;"2020-03-21 05:00:00";12.0
1;2019;326242;"2020-03-21 09:00:00";12.0
1;2019;326246;"2020-03-21 13:00:00";12.0
1;2019;326250;"2020-03-21 17:00:00";12.0
1;2019;326254;"2020-03-21 21:00:00";12.0
1;2019;326449;"2020-03-30 00:00:00";360.0
1;2019;326453;"2020-03-30 04:00:00";360.0
1;2019;326457;"2020-03-30 08:00:00";360.0
1;2019;326461;"2020-03-30 12:00:00";360.0
1;2019;326465;"2020-03-30 16:00:00";360.0
1;2019;326469;"2020-03-30 20:00:00";360.0
1;2019;327145;"2020-04-28 00:00:00";12.0
1;2019;327149;"2020-04-28 04:00:00";12.0
1;2019;327153;"2020-04-28 08:00:00";12.0
1;2019;327157;"2020-04-28 12:00:00";12.0
1;2019;327161;"2020-04-28 16:00:00";12.0
1;2019;327165;"2020-04-28 20:00:00";12.0
1;2019;326833;"2020-04-15 00:00:00";348.0
1;2019;326837;"2020-04-15 04:00:00";348.0
1;2019;326841;"2020-04-15 08:00:00";348.0
1;2019;326845;"2020-04-15 12:00:00";348.0
1;2019;326849;"2020-04-15 16:00:00";348.0
1;2019;326853;"2020-04-15 20:00:00";348.0
1;2019;327747;"2020-05-23 02:00:00";12.0
1;2019;327751;"2020-05-23 06:00:00";12.0
1;2019;327755;"2020-05-23 10:00:00";12.0
1;2019;327759;"2020-05-23 14:00:00";12.0
1;2019;327763;"2020-05-23 18:00:00";12.0
1;2019;327767;"2020-05-23 22:00:00";12.0
1;2019;327889;"2020-05-29 00:00:00";360.0
1;2019;327893;"2020-05-29 04:00:00";360.0
1;2019;327897;"2020-05-29 08:00:00";360.0
1;2019;327901;"2020-05-29 12:00:00";360.0
1;2019;327905;"2020-05-29 16:00:00";360.0
1;2019;327909;"2020-05-29 20:00:00";360.0
1;2019;328394;"2020-06-19 01:00:00";12.0
1;2019;328398;"2020-06-19 05:00:00";12.0
1;2019;328402;"2020-06-19 09:00:00";12.0
1;2019;328406;"2020-06-19 13:00:00";12.0
1;2019;328410;"2020-06-19 17:00:00";12.0
1;2019;328414;"2020-06-19 21:00:00";12.0
1;2019;328513;"2020-06-24 00:00:00";348.0
1;2019;328517;"2020-06-24 04:00:00";348.0
1;2019;328521;"2020-06-24 08:00:00";348.0
1;2019;328525;"2020-06-24 12:00:00";348.0
1;2019;328529;"2020-06-24 16:00:00";348.0
1;2019;328533;"2020-06-24 20:00:00";348.0
1;2019;328706;"2020-07-02 01:00:00";12.0
1;2019;328710;"2020-07-02 05:00:00";12.0
1;2019;328714;"2020-07-02 09:00:00";12.0
1;2019;328718;"2020-07-02 13:00:00";12.0
1;2019;328722;"2020-07-02 17:00:00";12.0
1;2019;328726;"2020-07-02 21:00:00";12.0
1;2019;329401;"2020-07-31 00:00:00";360.0
1;2019;329405;"2020-07-31 04:00:00";360.0
1;2019;329409;"2020-07-31 08:00:00";360.0
1;2019;329413;"2020-07-31 12:00:00";360.0
1;2019;329417;"2020-07-31 16:00:00";360.0
1;2019;329421;"2020-07-31 20:00:00";360.0
1;2019;329809;"2020-08-17 00:00:00";12.0
1;2019;329813;"2020-08-17 04:00:00";12.0
1;2019;329817;"2020-08-17 08:00:00";12.0
1;2019;329821;"2020-08-17 12:00:00";12.0
1;2019;329825;"2020-08-17 16:00:00";12.0
1;2019;329829;"2020-08-17 20:00:00";12.0
1;2019;329569;"2020-08-07 00:00:00";360.0
1;2019;329573;"2020-08-07 04:00:00";360.0
1;2019;329577;"2020-08-07 08:00:00";360.0
1;2019;329581;"2020-08-07 12:00:00";360.0
1;2019;329585;"2020-08-07 16:00:00";360.0
1;2019;329589;"2020-08-07 20:00:00";360.0
1;2019;330244;"2020-09-04 03:00:00";12.0
1;2019;330248;"2020-09-04 07:00:00";12.0
1;2019;330252;"2020-09-04 11:00:00";12.0
1;2019;330256;"2020-09-04 15:00:00";12.0
1;2019;330260;"2020-09-04 19:00:00";12.0
1;2019;330264;"2020-09-04 23:00:00";12.0
1;2019;330265;"2020-09-05 00:00:00";348.0
1;2019;330269;"2020-09-05 04:00:00";348.0
1;2019;330273;"2020-09-05 08:00:00";348.0
1;2019;330277;"2020-09-05 12:00:00";348.0
1;2019;330281;"2020-09-05 16:00:00";348.0
1;2019;330285;"2020-09-05 20:00:00";348.0
1;2019;331418;"2020-10-23 01:00:00";12.0
1;2019;331422;"2020-10-23 05:00:00";12.0
1;2019;331426;"2020-10-23 09:00:00";12.0
1;2019;331430;"2020-10-23 13:00:00";12.0
1;2019;331434;"2020-10-23 17:00:00";12.0
1;2019;331438;"2020-10-23 21:00:00";12.0
1;2019;331369;"2020-10-21 00:00:00";360.0
1;2019;331373;"2020-10-21 04:00:00";360.0
1;2019;331377;"2020-10-21 08:00:00";360.0
1;2019;331381;"2020-10-21 12:00:00";360.0
1;2019;331385;"2020-10-21 16:00:00";360.0
1;2019;331389;"2020-10-21 20:00:00";360.0
1;2019;332113;"2020-11-21 00:00:00";12.0
1;2019;332117;"2020-11-21 04:00:00";12.0
1;2019;332121;"2020-11-21 08:00:00";12.0
1;2019;332125;"2020-11-21 12:00:00";12.0
1;2019;332129;"2020-11-21 16:00:00";12.0
1;2019;332133;"2020-11-21 20:00:00";12.0
1;2019;331849;"2020-11-10 00:00:00";348.0
1;2019;331853;"2020-11-10 04:00:00";348.0
1;2019;331857;"2020-11-10 08:00:00";348.0
1;2019;331861;"2020-11-10 12:00:00";348.0
1;2019;331865;"2020-11-10 16:00:00";348.0
1;2019;331869;"2020-11-10 20:00:00";348.0
1;2019;332763;"2020-12-18 02:00:00";12.0
1;2019;332767;"2020-12-18 06:00:00";12.0
1;2019;332771;"2020-12-18 10:00:00";12.0
1;2019;332775;"2020-12-18 14:00:00";12.0
1;2019;332779;"2020-12-18 18:00:00";12.0
1;2019;332783;"2020-12-18 22:00:00";12.0
1;2019;332929;"2020-12-25 00:00:00";360.0
1;2019;332933;"2020-12-25 04:00:00";360.0
1;2019;332937;"2020-12-25 08:00:00";360.0
1;2019;332941;"2020-12-25 12:00:00";360.0
1;2019;332945;"2020-12-25 16:00:00";360.0
1;2019;332949;"2020-12-25 20:00:00";360.0
1;2022;351219;"2023-01-26 02:00:00";12.0
1;2022;351223;"2023-01-26 06:00:00";12.0
1;2022;351227;"2023-01-26 10:00:00";12.0
1;2022;351231;"2023-01-26 14:00:00";12.0
1;2022;351235;"2023-01-26 18:00:00";12.0
1;2022;351239;"2023-01-26 22:00:00";12.0
1;2022;350881;"2023-01-12 00:00:00";360.0
1;2022;350885;"2023-01-12 04:00:00";360.0
1;2022;350889;"2023-01-12 08:00:00";360.0
1;2022;350893;"2023-01-12 12:00:00";360.0
1;2022;350897;"2023-01-12 16:00:00";360.0
1;2022;350901;"2023-01-12 20:00:00";360.0
1;2022;351386;"2023-02-02 01:00:00";12.0
1;2022;351390;"2023-02-02 05:00:00";12.0
1;2022;351394;"2023-02-02 09:00:00";12.0
1;2022;351398;"2023-02-02 13:00:00";12.0
1;2022;351402;"2023-02-02 17:00:00";12.0
1;2022;351406;"2023-02-02 21:00:00";12.0
1;2022;351697;"2023-02-15 00:00:00";339.0
1;2022;351701;"2023-02-15 04:00:00";339.0
1;2022;351705;"2023-02-15 08:00:00";339.0
1;2022;351709;"2023-02-15 12:00:00";339.0
1;2022;351713;"2023-02-15 16:00:00";339.0
1;2022;351717;"2023-02-15 20:00:00";339.0
1;2022;352538;"2023-03-22 01:00:00";12.0
1;2022;352542;"2023-03-22 05:00:00";12.0
1;2022;352546;"2023-03-22 09:00:00";12.0
1;2022;352550;"2023-03-22 13:00:00";12.0
1;2022;352554;"2023-03-22 17:00:00";12.0
1;2022;352558;"2023-03-22 21:00:00";12.0
1;2022;352753;"2023-03-31 00:00:00";360.0
1;2022;352757;"2023-03-31 04:00:00";360.0
1;2022;352761;"2023-03-31 08:00:00";360.0
1;2022;352765;"2023-03-31 12:00:00";360.0
1;2022;352769;"2023-03-31 16:00:00";360.0
1;2022;352773;"2023-03-31 20:00:00";360.0
1;2022;353449;"2023-04-29 00:00:00";12.0
1;2022;353453;"2023-04-29 04:00:00";12.0
1;2022;353457;"2023-04-29 08:00:00";12.0
1;2022;353461;"2023-04-29 12:00:00";12.0
1;2022;353465;"2023-04-29 16:00:00";12.0
1;2022;353469;"2023-04-29 20:00:00";12.0
1;2022;353137;"2023-04-16 00:00:00";348.0
1;2022;353141;"2023-04-16 04:00:00";348.0
1;2022;353145;"2023-04-16 08:00:00";348.0
1;2022;353149;"2023-04-16 12:00:00";348.0
1;2022;353153;"2023-04-16 16:00:00";348.0
1;2022;353157;"2023-04-16 20:00:00";348.0
1;2022;354051;"2023-05-24 02:00:00";12.0
1;2022;354055;"2023-05-24 06:00:00";12.0
1;2022;354059;"2023-05-24 10:00:00";12.0
1;2022;354063;"2023-05-24 14:00:00";12.0
1;2022;354067;"2023-05-24 18:00:00";12.0
1;2022;354071;"2023-05-24 22:00:00";12.0
1;2022;354193;"2023-05-30 00:00:00";360.0
1;2022;354197;"2023-05-30 04:00:00";360.0
1;2022;354201;"2023-05-30 08:00:00";360.0
1;2022;354205;"2023-05-30 12:00:00";360.0
1;2022;354209;"2023-05-30 16:00:00";360.0
1;2022;354213;"2023-05-30 20:00:00";360.0
1;2022;354698;"2023-06-20 01:00:00";12.0
1;2022;354702;"2023-06-20 05:00:00";12.0
1;2022;354706;"2023-06-20 09:00:00";12.0
1;2022;354710;"2023-06-20 13:00:00";12.0
1;2022;354714;"2023-06-20 17:00:00";12.0
1;2022;354718;"2023-06-20 21:00:00";12.0
1;2022;354457;"2023-06-10 00:00:00";348.0
1;2022;354461;"2023-06-10 04:00:00";348.0
1;2022;354465;"2023-06-10 08:00:00";348.0
1;2022;354469;"2023-06-10 12:00:00";348.0
1;2022;354473;"2023-06-10 16:00:00";348.0
