gen_costs_scenario_id,technology,year,overnight_cost_$2007,fixed_o_m_$2007,var_o_m_$2007
2,Gas_Combustion_Turbine,2030,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2035,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2040,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2045,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2050,605430,4891.8,27.807
2,Gas_Combustion_Turbine_Cogen,2010,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2015,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2020,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2025,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2030,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2035,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2040,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2045,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_Cogen,2050,454072.5,3668.85,27.807
2,Gas_Combustion_Turbine_EP,0,624030,4891.8,27.807
2,Gas_Combustion_Turbine_Cogen_EP,0,468022.5,3668.85,27.807
2,Gas_Combustion_Turbine_CCS,2020,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_CCS,2025,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_CCS,2030,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_CCS,2035,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_CCS,2040,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_CCS,2045,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_CCS,2050,2949030,16135.5,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2020,2211772.5,12101.625,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2025,2211772.5,12101.625,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2030,2211772.5,12101.625,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2035,2211772.5,12101.625,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2040,2211772.5,12101.625,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2045,2211772.5,12101.625,45.97270872
2,Gas_Combustion_Turbine_Cogen_CCS,2050,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_EP,0,624030,4891.8,27.807
2,Gas_Internal_Combustion_Engine_Cogen_EP,0,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2010,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2015,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2020,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2025,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2030,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2035,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2040,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2045,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen,2050,468022.5,3668.85,27.807
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2020,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2025,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2030,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2035,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2040,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2045,2211772.5,12101.625,45.97270872
2,Gas_Internal_Combustion_Engine_Cogen_CCS,2050,2211772.5,12101.625,45.97270872
2,Gas_Steam_Turbine_EP,0,462488.4,29501.154,3.690564
2,Gas_Steam_Turbine_Cogen_EP,0,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2010,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2015,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2020,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2025,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2030,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2035,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2040,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2045,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen,2050,346866.3,22125.8655,3.690564
2,Gas_Steam_Turbine_Cogen_CCS,2020,2104566.3,30558.6405,9.577464
2,Gas_Steam_Turbine_Cogen_CCS,2025,2104566.3,30558.6405,9.577464
2,Gas_Steam_Turbine_Cogen_CCS,2030,2104566.3,30558.6405,9.577464
2,Gas_Steam_Turbine_Cogen_CCS,2035,2104566.3,30558.6405,9.577464
2,Gas_Steam_Turbine_Cogen_CCS,2040,2104566.3,30558.6405,9.577464
2,Gas_Steam_Turbine_Cogen_CCS,2045,2104566.3,30558.6405,9.577464
2,Gas_Steam_Turbine_Cogen_CCS,2050,2104566.3,30558.6405,9.577464
2,DistillateFuelOil_Combustion_Turbine_EP,0,624030,4891.8,27.807
2,DistillateFuelOil_Internal_Combustion_Engine_EP,0,468022.5,3668.85,27.807
2,Coal_Steam_Turbine,2010,2687700,21390,3.4503
2,Coal_Steam_Turbine,2015,2687700,21390,3.4503
2,Coal_Steam_Turbine,2020,2687700,21390,3.4503
2,Coal_Steam_Turbine,2025,2687700,21390,3.4503
2,Coal_Steam_Turbine,2030,2687700,21390,3.4503
2,Coal_Steam_Turbine,2035,2687700,21390,3.4503
2,Coal_Steam_Turbine,2040,2687700,21390,3.4503
2,Coal_Steam_Turbine,2045,2687700,21390,3.4503
2,Coal_Steam_Turbine,2050,2687700,21390,3.4503
2,Coal_Steam_Turbine_CCS,2020,5245200,32736,5.5986
2,Coal_Steam_Turbine_CCS,2025,5245200,32736,5.5986
2,Coal_Steam_Turbine_CCS,2030,5245200,32736,5.5986
2,Coal_Steam_Turbine_CCS,2035,5245200,32736,5.5986
2,Coal_Steam_Turbine_CCS,2040,5245200,32736,5.5986
2,Coal_Steam_Turbine_CCS,2045,5245200,32736,5.5986
2,Coal_Steam_Turbine_CCS,2050,5245200,32736,5.5986
2,Coal_Steam_Turbine_Cogen,2010,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2015,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2020,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2025,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2030,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2035,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2040,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2045,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen,2050,2015775,16042.5,3.4503
2,Coal_Steam_Turbine_Cogen_CCS,2020,3933900,24552,5.5986
2,Coal_Steam_Turbine_Cogen_CCS,2025,3933900,24552,5.5986
2,Coal_Steam_Turbine_Cogen_CCS,2030,3933900,24552,5.5986
2,Coal_Steam_Turbine_Cogen_CCS,2035,3933900,24552,5.5986
2,Coal_Steam_Turbine_Cogen_CCS,2040,3933900,24552,5.5986
2,Coal_Steam_Turbine_Cogen_CCS,2045,3933900,24552,5.5986
2,Coal_Steam_Turbine_Cogen_CCS,2050,3933900,24552,5.5986
2,Coal_Steam_Turbine_EP,0,2827200,21390,3.4503
2,Coal_Steam_Turbine_Cogen_EP,0,2120400,16042.5,3.4503
2,Coal_IGCC,2010,3729300,28923,6.0822
2,Coal_IGCC,2015,3729300,28923,6.0822
2,Coal_IGCC,2020,3729300,28923,6.0822
2,Coal_IGCC,2025,3729300,28923,6.0822
2,Coal_IGCC,2030,3729300,28923,6.0822
2,Coal_IGCC,2035,3729300,28923,6.0822
2,Coal_IGCC,2040,3729300,28923,6.0822
2,Coal_IGCC,2045,3729300,28923,6.0822
2,Coal_IGCC,2050,3729300,28923,6.0822
2,Coal_IGCC_CCS,2020,6138000,41292,9.858
2,Coal_IGCC_CCS,2025,6138000,41292,9.858
2,Coal_IGCC_CCS,2030,6138000,41292,9.858
2,Coal_IGCC_CCS,2035,6138000,41292,9.858
2,Coal_IGCC_CCS,2040,6138000,41292,9.858
2,Coal_IGCC_CCS,2045,6138000,41292,9.858
2,Coal_IGCC_CCS,2050,6138000,41292,9.858
2,Biomass_IGCC,2010,3561900,88350,13.95
2,Biomass_IGCC,2015,3561900,88350,13.95
2,Biomass_IGCC,2020,3561900,88350,13.95
2,Biomass_IGCC,2025,3561900,88350,13.95
2,Biomass_IGCC,2030,3561900,88350,13.95
2,Biomass_IGCC,2035,3561900,88350,13.95
2,Biomass_IGCC,2040,3561900,88350,13.95
2,Biomass_IGCC,2045,3561900,88350,13.95
2,Biomass_IGCC,2050,3561900,88350,13.95
2,Biomass_IGCC_CCS,2020,5970600,100719,20.13067472
2,Biomass_IGCC_CCS,2025,5970600,100719,20.13067472
2,Biomass_IGCC_CCS,2030,5970600,100719,20.13067472
2,Biomass_IGCC_CCS,2035,5970600,100719,20.13067472
2,Biomass_IGCC_CCS,2040,5970600,100719,20.13067472
2,Biomass_IGCC_CCS,2045,5970600,100719,20.13067472
2,Biomass_IGCC_CCS,2050,5970600,100719,20.13067472
2,Bio_Solid_Steam_Turbine_EP,0,3738600,88350,13.95
2,Bio_Solid_Steam_Turbine_Cogen_EP,0,2803950,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2010,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2015,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2020,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2025,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2030,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2035,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2040,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2045,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen,2050,2671425,66262.5,13.95
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2020,4477950,75539.25,20.13067472
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2025,4477950,75539.25,20.13067472
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2030,4477950,75539.25,20.13067472
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2035,4477950,75539.25,20.13067472
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2040,4477950,75539.25,20.13067472
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2045,4477950,75539.25,20.13067472
2,Bio_Solid_Steam_Turbine_Cogen_CCS,2050,4477950,75539.25,20.13067472
2,Bio_Gas,2010,1754331.5,53317.02,13.28345
2,Bio_Gas,2015,1754331.5,53317.02,13.28345
2,Bio_Gas,2020,1754331.5,53317.02,13.28345
2,Bio_Gas,2025,1754331.5,53317.02,13.28345
2,Bio_Gas,2030,1754331.5,53317.02,13.28345
2,Bio_Gas,2035,1754331.5,53317.02,13.28345
2,Bio_Gas,2040,1754331.5,53317.02,13.28345
2,Bio_Gas,2045,1754331.5,53317.02,13.28345
2,Bio_Gas,2050,1754331.5,53317.02,13.28345
2,Bio_Gas_CCS,2020,4097931.5,64560.72,24.13864698
2,Bio_Gas_CCS,2025,4097931.5,64560.72,24.13864698
2,Bio_Gas_CCS,2030,4097931.5,64560.72,24.13864698
2,Bio_Gas_CCS,2035,4097931.5,64560.72,24.13864698
2,Bio_Gas_CCS,2040,4097931.5,64560.72,24.13864698
2,Bio_Gas_CCS,2045,4097931.5,64560.72,24.13864698
2,Bio_Gas_CCS,2050,4097931.5,64560.72,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2010,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2015,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2020,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2025,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2030,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2035,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2040,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2045,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen,2050,1315748.625,39987.765,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2020,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2025,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2030,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2035,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2040,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2045,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_Cogen_CCS,2050,3073448.625,48420.54,24.13864698
2,Bio_Gas_Internal_Combustion_Engine_EP,0,1754331.5,53317.02,13.28345
2,Bio_Gas_Internal_Combustion_Engine_Cogen_EP,0,1315748.625,39987.765,13.28345
2,Bio_Gas_Steam_Turbine_EP,0,1592789.9,77926.374,13.95
2,Bio_Liquid_Steam_Turbine_Cogen_EP,0,2803950,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2010,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2015,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2020,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2025,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2030,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2035,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2040,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2045,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen,2050,2671425,66262.5,13.95
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2020,4477950,75539.25,20.13067472
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2025,4477950,75539.25,20.13067472
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2030,4477950,75539.25,20.13067472
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2035,4477950,75539.25,20.13067472
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2040,4477950,75539.25,20.13067472
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2045,4477950,75539.25,20.13067472
2,Bio_Liquid_Steam_Turbine_Cogen_CCS,2050,4477950,75539.25,20.13067472
2,Nuclear_EP,0,5793900,118110,0
2,Nuclear,2010,5673000,118110,0
2,Nuclear,2015,5673000,118110,0
2,Nuclear,2020,5673000,118110,0
2,Nuclear,2025,5673000,118110,0
2,Nuclear,2030,5673000,118110,0
2,Nuclear,2035,5673000,118110,0
2,Nuclear,2040,5673000,118110,0
2,Nuclear,2045,5673000,118110,0
2,Nuclear,2050,5673000,118110,0
2,Geothermal_EP,0,5803200,0,28.83
2,Geothermal,2010,5524200,0,28.83
2,Geothermal,2015,5524200,0,28.83
2,Geothermal,2020,5524200,0,28.83
2,Geothermal,2025,5524200,0,28.83
2,Geothermal,2030,5524200,0,28.83
2,Geothermal,2035,5524200,0,28.83
2,Geothermal,2040,5524200,0,28.83
2,Geothermal,2045,5524200,0,28.83
2,Geothermal,2050,5524200,0,28.83
2,Residential_PV,2010,5533500,46500,0
2,Residential_PV,2015,4036200,44640,0
2,Residential_PV,2020,3487500,41850,0
2,Residential_PV,2025,3217800,39990,0
2,Residential_PV,2030,3059700,38130,0
2,Residential_PV,2035,2966700,36270,0
2,Residential_PV,2040,2873700,34410,0
2,Residential_PV,2045,2799300,32550,0
2,Residential_PV,2050,2724900,30690,0
2,Commercial_PV,2010,4454700,46500,0
2,Commercial_PV,2015,3571200,44640,0
2,Commercial_PV,2020,3106200,41850,0
2,Commercial_PV,2025,2873700,39990,0
2,Commercial_PV,2030,2752800,38130,0
2,Commercial_PV,2035,2659800,36270,0
2,Commercial_PV,2040,2576100,34410,0
2,Commercial_PV,2045,2501700,32550,0
2,Commercial_PV,2050,2436600,30690,0
2,Central_PV,2010,2790000,46500,0
2,Central_PV,2015,2436600,44640,0
2,Central_PV,2020,2334300,41850,0
2,Central_PV,2025,2241300,39990,0
2,Central_PV,2030,2148300,38130,0
2,Central_PV,2035,2073900,36270,0
2,Central_PV,2040,2008800,34410,0
2,Central_PV,2045,1943700,32550,0
2,Central_PV,2050,1887900,30690,0
2,CSP_Trough_No_Storage,2010,4566300,46500,0
2,CSP_Trough_No_Storage,2015,4389600,46500,0
2,CSP_Trough_No_Storage,2020,4222200,46500,0
2,CSP_Trough_No_Storage,2025,4045500,46500,0
2,CSP_Trough_No_Storage,2030,3878100,46500,0
2,CSP_Trough_No_Storage,2035,3707910,46500,0
2,CSP_Trough_No_Storage,2040,3534000,46500,0
2,CSP_Trough_No_Storage,2045,3366600,46500,0
2,CSP_Trough_No_Storage,2050,3189900,46500,0
2,CSP_Trough_6h_Storage,2010,6565800,46500,0
2,CSP_Trough_6h_Storage,2015,6324000,46500,0
2,CSP_Trough_6h_Storage,2020,6072900,46500,0
2,CSP_Trough_6h_Storage,2025,5505600,46500,0
2,CSP_Trough_6h_Storage,2030,4938300,46500,0
2,CSP_Trough_6h_Storage,2035,4371000,46500,0
2,CSP_Trough_6h_Storage,2040,4371000,46500,0
2,CSP_Trough_6h_Storage,2045,4371000,46500,0
2,CSP_Trough_6h_Storage,2050,4371000,46500,0
2,Wind_EP,0,1915800,55800,0
2,Wind,2010,1841400,55800,0
2,Wind,2015,1841400,55800,0
2,Wind,2020,1841400,55800,0
2,Wind,2025,1841400,55800,0
2,Wind,2030,1841400,55800,0
2,Wind,2035,1841400,55800,0
2,Wind,2040,1841400,55800,0
2,Wind,2045,1841400,55800,0
2,Wind,2050,1841400,55800,0
2,Offshore_Wind,2010,3078300,93000,0
2,Offshore_Wind,2015,3003900,93000,0
2,Offshore_Wind,2020,2929500,93000,0
2,Offshore_Wind,2025,2855100,93000,0
2,Offshore_Wind,2030,2780700,93000,0
2,Offshore_Wind,2035,2780700,93000,0
2,Offshore_Wind,2040,2780700,93000,0
2,Offshore_Wind,2045,2780700,93000,0
2,Offshore_Wind,2050,2780700,93000,0
2,Hydro_NonPumped,0,3348000,13950,5.58
2,Hydro_Pumped,0,2073900,28644,0
2,Compressed_Air_Energy_Storage,2010,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2015,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2020,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2025,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2030,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2035,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2040,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2045,1099260,10788,1.4415
2,Compressed_Air_Energy_Storage,2050,1099260,10788,1.4415
2,Battery_Storage,2010,3710700,23436,54.87
2,Battery_Storage,2015,3617700,23436,54.87
2,Battery_Storage,2020,3524700,23436,54.87
2,Battery_Storage,2025,3431700,23436,54.87
2,Battery_Storage,2030,3338700,23436,54.87
2,Battery_Storage,2035,3245700,23436,54.87
2,Battery_Storage,2040,3152700,23436,54.87
2,Battery_Storage,2045,3059700,23436,54.87
2,Battery_Storage,2050,2966700,23436,54.87
