project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id
11214,CSP_Trough_No_Storage,3203,CO_E,15.1181984429321,51.5145613324145,2687.31153574681,10654
11606,CSP_Trough_No_Storage,3783,WY_SE,24.0312660850296,50.8540417926682,39922.1808460291,10655
4008,Central_PV,3783,WY_SE,24.0312660850296,44.4334489377682,39922.1808460291,10655
18039,CSP_Trough_No_Storage,21732,CO_E,1.99879380670166,53.1762018356204,16586.4272406195,10656
3972,Central_PV,3735,WY_SE,13.3165027053299,44.3917543346239,42580.4301506552,10657
11570,CSP_Trough_No_Storage,3735,WY_SE,13.3165027053299,51.0743327096301,42580.4301506552,10657
2421,Wind,670,NM_N,60,1,37521.709465923,10658
2376,Wind,661,NM_N,60,1,44464.5690157629,10659
2363,Wind,564,NM_N,150,1,50694.2411592226,10660
2689,Wind,1611,CO_E,60,1,18372.9345767435,10661
11083,CSP_Trough_No_Storage,2803,CO_E,49.6388674372406,53.4499597151981,52407.2918398161,10662
3485,Central_PV,2803,CO_E,49.6388674372406,43.4235883005923,52407.2918398161,10662
11659,CSP_Trough_No_Storage,3874,WY_SE,81.9297690781479,49.9006115675307,41827.0553836883,10663
4061,Central_PV,3874,WY_SE,81.9297690781479,44.5107019635193,41827.0553836883,10663
18318,CSP_Trough_No_Storage,22847,CO_E,1.99758545933533,53.1762018356204,9830.87911941218,10693
16201,CSP_Trough_No_Storage,17424,NM_N,17.090599450592,54.5850088116576,61787.2929079118,10664
3374,Central_PV,2511,CO_E,69.6307088786621,43.0943964914163,64292.988940923,10665
10972,CSP_Trough_No_Storage,2511,CO_E,69.6307088786621,54.2257879508683,64292.988940923,10665
5581,Central_PV,11011,NM_N,22.6208175769043,86.0342869313305,56891.9156262658,10683
13179,CSP_Trough_No_Storage,11011,NM_N,22.6208175769043,109.284479059153,56891.9156262658,10683
15967,CSP_Trough_No_Storage,17019,NM_N,21.6053075068054,54.9489369741219,30960.0551723756,10739
8370,Central_PV,17019,NM_N,21.6053075068054,42.6823803540772,30960.0551723756,10739
18308,CSP_Trough_No_Storage,22837,CO_E,556.622511544357,53.2279895289359,13135.744781277,10666
10712,Central_PV,22837,CO_E,556.622511544357,43.4719671375593,13135.744781277,10666
11091,CSP_Trough_No_Storage,2816,CO_E,63.6418020182343,53.2927293462303,46485.0244574273,10667
3493,Central_PV,2816,CO_E,63.6418020182343,43.4459607091818,46485.0244574273,10667
6604,Central_PV,13115,WY_SE,15.41316038694,44.1759388519313,19535.7575263039,10668
14202,CSP_Trough_No_Storage,13115,WY_SE,15.41316038694,52.1665814813133,19535.7575263039,10668
2688,Wind,3379,CO_E,30,1,10968.4512080389,10669
2860,Wind,935,CO_DEN,60,1,24775.1296908714,10670
2865,Wind,3407,WY_SE,30,1,18956.2862199558,10671
5512,Central_PV,10880,NM_N,35.1528551484375,42.9045435885816,56205.6749970631,10672
13110,CSP_Trough_No_Storage,10880,NM_N,35.1528551484375,55.2816866836392,56205.6749970631,10672
3599,Central_PV,3175,CO_E,32.9288998003082,43.7561942121475,12587.035181221,10673
11197,CSP_Trough_No_Storage,3175,CO_E,32.9288998003082,52.2491142645815,12587.035181221,10673
16971,CSP_Trough_No_Storage,19052,WY_SE,1.92612525886536,51.5145613324145,19975.5160095129,10674
