site,generator_type,renewable_id,load_area,capacity_mw,connect_cost_per_mw,timezone_difference_from_utc,site_name_or_notes
Distributed_PV_AZ_NW_114053525,Distributed_PV,114053525,AZ_NW,13.083154,,-7,
Distributed_PV_AZ_SE_110353155,Distributed_PV,110353155,AZ_SE,33.370435,,-7,
Distributed_PV_AZ_APS_SW_112553425,Distributed_PV,112553425,AZ_APS_SW,29.9808292,,-7,
Distributed_PV_AZ_NW_114653585,Distributed_PV,114653585,AZ_NW,11.1016878,,-7,
Distributed_PV_AZ_APS_N_112153395,Distributed_PV,112153395,AZ_APS_N,9.487716,,-7,
Distributed_PV_AZ_PHX_111553345,Distributed_PV,111553345,AZ_PHX,28.1044876,,-7,
Distributed_PV_AZ_APS_SW_114653265,Distributed_PV,114653265,AZ_APS_SW,68.476751,,-7,
Distributed_PV_AZ_APS_N_111753485,Distributed_PV,111753485,AZ_APS_N,9.0036128,,-7,
Distributed_PV_AZ_SE_110953245,Distributed_PV,110953245,AZ_SE,32.442865,,-7,
Distributed_PV_AZ_PHX_111853365,Distributed_PV,111853365,AZ_PHX,179.069597,,-7,
Distributed_PV_AZ_PHX_112253355,Distributed_PV,112253355,AZ_PHX,193.2985208,,-7,
Distributed_PV_AZ_PHX_112253365,Distributed_PV,112253365,AZ_PHX,129.5709282,,-7,
Distributed_PV_AZ_APS_N_111353455,Distributed_PV,111353455,AZ_APS_N,12.031908,,-7,
Distributed_PV_AZ_PHX_112353355,Distributed_PV,112353355,AZ_PHX,16.60792,,-7,
Distributed_PV_AZ_SE_111053185,Distributed_PV,111053185,AZ_SE,15.2678022,,-7,
Distributed_PV_AZ_SE_111753285,Distributed_PV,111753285,AZ_SE,22.2828816,,-7,
Distributed_PV_AZ_NW_114553495,Distributed_PV,114553495,AZ_NW,12.0972796,,-7,
Distributed_PV_AZ_SE_111653275,Distributed_PV,111653275,AZ_SE,13.038984,,-7,
Distributed_PV_AZ_NW_114353505,Distributed_PV,114353505,AZ_NW,29.8315346,,-7,
Distributed_PV_AZ_APS_N_111453525,Distributed_PV,111453525,AZ_APS_N,46.7265596,,-7,
Distributed_PV_AZ_APS_N_111953475,Distributed_PV,111953475,AZ_APS_N,9.372874,,-7,
Distributed_PV_AZ_PHX_112353365,Distributed_PV,112353365,AZ_PHX,50.5234128,,-7,
Distributed_PV_AZ_APS_N_112353465,Distributed_PV,112353465,AZ_APS_N,20.790819,,-7,
