gen_info_scenario_id,technology_id,technology,prime_mover,min_online_year,fuel,connect_cost_dollars_per_mw_generic,heat_rate_mmbtu_per_mwh,construction_time_years,year_1_cost_fraction,year_2_cost_fraction,year_3_cost_fraction,year_4_cost_fraction,year_5_cost_fraction,year_6_cost_fraction,max_age_years,forced_outage_rate,scheduled_outage_rate,intermittent,distributed,resource_limited,baseload,flexible_baseload,dispatchable,cogenerator,min_build_capacity_mw,can_build_new,competes_for_space,ccs,storage,storage_efficiency,max_store_rate,max_spinning_reserve_fraction_of_capacity,heat_rate_penalty_spinning_reserve,minimum_loading,deep_cycling_penalty,startup_mmbtu_per_mw,startup_cost_dollars_per_mw
8,31,Gas_Steam_Turbine_Cogen_EP,ST,0,Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,32,CCGT_Cogen_EP,CC,0,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,33,Battery_Storage,BA,2010,Storage,61241.1,0.000,3,0.80,0.10,0.10,0.00,0.00,0.00,10,0.0200,0.0055,0,0,0,0,0,0,0,0,1,0,0,1,0.7500,1.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,34,CCGT_CCS,CC,2020,Gas_CCS,61241.1,10.080,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,0,0,0,1,0,0,1,0,1,0,0.0000,0.00,0.3800,0.3300,0.4000,0.3300,9.16,10.30
8,35,Gas_Combustion_Turbine_CCS,GT,2020,Gas_CCS,61241.1,15.620,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,0,0,0,1,0,0,1,0,1,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,37,Biomass_IGCC_CCS,CC,2020,Bio_Solid_CCS,61241.1,16.321,2,0.25,0.75,0.00,0.00,0.00,0.00,40,0.0900,0.0760,0,0,1,1,0,0,0,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,38,Coal_IGCC_CCS,CC,2020,Coal_CCS,61241.1,10.380,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0800,0.1200,0,0,0,0,1,0,0,0,1,0,1,0,0.0000,0.00,0.0000,0.0000,0.4000,0.2900,0.00,0.00
8,39,Coal_Steam_Turbine_CCS,ST,2020,Coal_CCS,61241.1,12.100,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,0,0,1,0,0,0,1,0,1,0,0.0000,0.00,0.0000,0.0000,0.4000,0.0500,0.00,0.00
8,40,Gas_Internal_Combustion_Engine_Cogen_EP,IC,0,Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,60,DistillateFuelOil_Combustion_Turbine_EP,GT,0,DistillateFuelOil,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,61,DistillateFuelOil_Internal_Combustion_Engine_EP,IC,0,DistillateFuelOil,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,80,Bio_Gas_Internal_Combustion_Engine_EP,IC,0,Bio_Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,0,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,81,Bio_Gas_Internal_Combustion_Engine_Cogen_EP,IC,0,Bio_Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,82,Bio_Gas_Steam_Turbine_EP,ST,0,Bio_Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,0,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,85,Bio_Liquid_Steam_Turbine_Cogen_EP,ST,0,Bio_Liquid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,90,Bio_Solid_Steam_Turbine_EP,ST,0,Bio_Solid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,0,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
