ep_id,month,avg_capacity_factor_hydro
5000040,9,0.53257
5000040,10,0.42169
5000040,11,0.40719
5000040,12,0.44465
5000041,1,0.49078
5000041,2,0.48833
5000041,3,0.57944
5000041,4,0.70858
5000041,5,0.83415
5000041,6,0.84507
5000041,7,0.82963
5000041,8,0.71743
5000041,9,0.53257
5000041,10,0.42169
5000041,11,0.40719
5000041,12,0.44465
5000042,1,0.49078
5000042,2,0.48833
5000042,3,0.57944
5000042,4,0.70858
5000042,5,0.83415
5000042,6,0.84507
5000042,7,0.82963
5000042,8,0.71743
5000042,9,0.53257
5000042,10,0.42169
5000042,11,0.40719
5000042,12,0.44465
5000043,1,0.24011
5000043,2,0.16920
5000043,3,0.29739
5000043,4,0.41432
5000043,5,0.57955
5000043,6,0.64125
5000043,7,0.65057
5000043,8,0.58943
5000043,9,0.53239
5000043,10,0.22386
5000043,11,0.29216
5000043,12,0.30170
5000044,1,0.30913
5000044,2,0.35636
5000044,3,0.55949
5000044,4,0.69488
5000044,5,0.77881
5000044,6,0.68865
5000044,7,0.72735
5000044,8,0.58852
5000044,9,0.40654
5000044,10,0.20635
5000044,11,0.23918
5000044,12,0.24892
5000045,1,0.30913
5000045,2,0.35636
5000045,3,0.55949
5000045,4,0.69488
5000045,5,0.77881
5000045,6,0.68865
5000045,7,0.72735
5000045,8,0.58852
5000045,9,0.40654
5000045,10,0.20635
5000045,11,0.23918
5000045,12,0.24892
5000046,1,0.30913
5000046,2,0.35636
5000046,3,0.55949
5000046,4,0.69488
5000046,5,0.77881
5000046,6,0.68865
5000046,7,0.72735
5000046,8,0.58852
5000046,9,0.40654
5000046,10,0.20635
5000046,11,0.23918
5000046,12,0.24892
5000047,1,0.26213
5000047,2,0.33775
5000047,3,0.56425
5000047,4,0.66263
5000047,5,0.82638
5000047,6,0.83888
5000047,7,0.72425
5000047,8,0.55200
5000047,9,0.35750
5000047,10,0.21550
5000047,11,0.19238
5000047,12,0.21750
5000048,1,0.31650
5000048,2,0.31667
5000048,3,0.36850
5000048,4,0.43567
5000048,5,0.51667
5000048,6,0.52533
5000048,7,0.50650
5000048,8,0.42900
5000048,9,0.32683
5000048,10,0.26717
5000048,11,0.26667
5000048,12,0.29300
5000049,1,0.31650
5000049,2,0.31667
5000049,3,0.36850
5000049,4,0.43567
5000049,5,0.51667
5000049,6,0.52533
5000049,7,0.50650
5000049,8,0.42900
5000049,9,0.32683
5000049,10,0.26717
5000049,11,0.26667
5000049,12,0.29300
5000050,1,0.32755
5000050,2,0.32060
5000050,3,0.37153
5000050,4,0.43634
5000050,5,0.51620
5000050,6,0.53009
5000050,7,0.49769
5000050,8,0.41551
5000050,9,0.32407
5000050,10,0.26505
5000050,11,0.27315
5000050,12,0.29630
5000051,1,0.20632
5000051,2,0.18187
5000051,3,0.33503
5000051,4,0.45212
5000051,5,0.48997
5000051,6,0.36122
5000051,7,0.19185
5000051,8,0.13651
5000051,9,0.13360
5000051,10,0.11873
5000051,11,0.11675
5000051,12,0.17994
5000052,1,0.51523
5000052,2,0.59694
5000052,3,0.85587
5000052,4,0.80437
5000052,5,0.89533
5000052,6,0.77910
5000052,7,0.58315
5000052,8,0.32286
5000052,9,0.17124
5000052,10,0.14334
5000052,11,0.18415
5000052,12,0.25837
5000053,1,0.37448
5000053,2,0.36719
5000053,3,0.43003
5000053,4,0.51719
5000053,5,0.59983
5000053,6,0.60608
5000053,7,0.58872
5000053,8,0.50295
5000053,9,0.37691
5000053,10,0.30365
5000053,11,0.29965
5000053,12,0.32344
5000054,1,0.21158
5000054,2,0.20323
5000054,3,0.36146
5000054,4,0.44182
5000054,5,0.50212
5000054,6,0.49934
5000054,7,0.47431
5000054,8,0.41393
5000054,9,0.21458
5000054,10,0.12866
5000054,11,0.05913
5000054,12,0.14535
5000055,1,0.21158
5000055,2,0.20323
5000055,3,0.36146
5000055,4,0.44182
5000055,5,0.50212
5000055,6,0.49934
5000055,7,0.47431
5000055,8,0.41393
5000055,9,0.21458
5000055,10,0.12866
5000055,11,0.05913
5000055,12,0.14535
5000056,1,0.51902
5000056,2,0.50463
5000056,3,0.56427
5000056,4,0.56183
5000056,5,0.56549
5000056,6,0.57951
5000056,7,0.53720
5000056,8,0.47146
5000056,9,0.34598
5000056,10,0.31488
5000056,11,0.38268
5000056,12,0.43512
5000057,1,0.17950
5000057,2,0.25053
5000057,3,0.33968
5000057,4,0.50608
5000057,5,0.58466
5000057,6,0.56878
5000057,7,0.55212
5000057,8,0.46706
5000057,9,0.30582
5000057,10,0.32368
5000057,11,0.23651
5000057,12,0.20317
5000058,1,0.25472
5000058,2,0.25236
5000058,3,0.30425
5000058,4,0.37028
5000058,5,0.43396
5000058,6,0.43396
5000058,7,0.43868
5000058,8,0.38208
5000058,9,0.27358
5000058,10,0.21934
5000058,11,0.20755
5000058,12,0.22406
5000059,1,0.05760
5000059,2,0.17606
5000059,3,0.25490
5000059,4,0.34967
5000059,5,0.40359
5000059,6,0.73815
5000059,7,0.73734
5000059,8,0.49837
5000059,9,0.26266
5000059,10,0.14502
5000059,11,0.05801
5000059,12,0.02737
5000060,1,0.05760
5000060,2,0.17606
5000060,3,0.25490
5000060,4,0.34967
5000060,5,0.40359
5000060,6,0.73815
5000060,7,0.73734
5000060,8,0.49837
5000060,9,0.26266
5000060,10,0.14502
5000060,11,0.05801
5000060,12,0.02737
5000061,1,0.39796
5000061,2,0.32880
5000061,3,0.27028
5000061,4,0.43102
5000061,5,0.60120
5000061,6,0.63889
5000061,7,0.67000
5000061,8,0.51926
5000061,9,0.40444
5000061,10,0.25731
5000061,11,0.27426
5000061,12,0.34028
5000062,1,0.01238
5000062,2,0.00731
5000062,3,0.00156
5000062,4,0.00876
5000062,5,0.00000
5000062,6,0.00439
5000062,7,0.00812
5000062,8,0.02087
5000062,9,0.02102
5000062,10,0.00582
5000062,11,0.00463
5000062,12,0.00736
5000063,1,0.15000
5000063,2,0.17500
5000063,3,0.38750
5000063,4,0.58750
5000063,5,0.77500
5000063,6,0.85000
5000063,7,0.83750
5000063,8,0.78750
5000063,9,0.48750
5000063,10,0.33750
5000063,11,0.13750
5000063,12,0.16250
5000064,1,0.04148
5000064,2,0.09691
5000064,3,0.08909
5000064,4,0.08265
5000064,5,0.24468
5000064,6,0.36186
5000064,7,0.24424
5000064,8,0.11931
5000064,9,0.10035
5000064,10,0.02065
5000064,11,0.02396
5000064,12,0.03779
5000065,1,0.08131
5000065,2,0.07633
5000065,3,0.11117
5000065,4,0.21294
5000065,5,0.39491
5000065,6,0.42423
5000065,7,0.34956
