project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id,avg_capacity_factor
1000417,Commercial_PV,1000417,AZ_APS_SW,24.1864,1,,102255,0.19177125717872
1000418,Residential_PV,1000418,WY_SW,172.484,1,,102838,0.174682961319405
1000419,Commercial_PV,1000419,AZ_NW,88.548,1,,102838,0.181685021757987
1000420,Residential_PV,1000420,OR_PDX,30.602,1,,102752,0.176871081966395
1000421,Commercial_PV,1000421,WY_SW,15.7674,1,,102752,0.184082138592332
1000422,Residential_PV,1000422,CO_NW,68.159,1,,100049,0.137657433803863
1000423,Commercial_PV,1000423,WA_N_CEN,16.569,1,,100049,0.142714322644053
1000424,Residential_PV,1000424,AZ_PHX,62.595,1,,100011,0.131111719838594
1000425,Commercial_PV,1000425,WA_ID_AVA,14.7744,1,,100011,0.135648889662634
1000428,Residential_PV,1000428,OR_WA_BPA,20.865,1,,100067,0.136093426936413
1000429,Commercial_PV,1000429,AZ_APS_SW,4.7112,1,,100067,0.141520439878512
1000430,Residential_PV,1000430,MT_NE,7945.392,1,,100102,0.132887816996808
1000431,Commercial_PV,1000431,WA_N_CEN,1821.292,1,,100102,0.137950027416466
1000462,Residential_PV,1000462,CO_SW,1132.274,1,,101364,0.201470466062575
1000463,Commercial_PV,1000463,WA_ID_AVA,525.3612,1,,101364,0.210462005450777
1000464,Residential_PV,1000464,NM_N,433.992,1,,101769,0.208058798965379
1000465,Commercial_PV,1000465,CA_SCE_VLY,200.2455,1,,101769,0.218026316617103
1000468,Residential_PV,1000468,NM_N,2980.913,1,,100229,0.177433890549291
1000469,Commercial_PV,1000469,CO_DEN,1227.954,1,,100229,0.185483076470323
1000506,Residential_PV,1000506,WY_SW,19841.224,1,,101151,0.196311783424835
1000507,Commercial_PV,1000507,NV_N,9769.326,1,,101151,0.204910544768612
1000574,Residential_PV,1000574,CA_PGE_CEN,40.339,1,,104081,0.205903340644432
1000575,Commercial_PV,1000575,CA_SDGE,24.9242,1,,104081,0.214581058111058
1000576,Residential_PV,1000576,UT_N,178.048,1,,104128,0.21761706909304
1000577,Commercial_PV,1000577,CA_SDGE,110.8045,1,,104128,0.226288729696421
1000578,Residential_PV,1000578,CA_PGE_S,22.256,1,,103806,0.210475404459787
1000579,Commercial_PV,1000579,AZ_NW,14.1855,1,,103806,0.218573049422197
1000582,Residential_PV,1000582,CA_PGE_N,1265.81,1,,104005,0.218084219070899
1000583,Commercial_PV,1000583,AZ_NW,800.384,1,,104005,0.226972872629527
1000736,Residential_PV,1000736,CA_IID,30.602,1,,103436,0.208751426654527
1000737,Commercial_PV,1000737,CO_E,16.0167,1,,103436,0.218267698838695
1000740,Residential_PV,1000740,CO_E,86.242,1,,103251,0.210939527048257
1000741,Commercial_PV,1000741,CO_E,43.2345,1,,103251,0.21969182933431
1000742,Residential_PV,1000742,CO_E,1521.754,1,,103096,0.210847346166406
1000743,Commercial_PV,1000743,MT_SE,755.3259,1,,103096,0.220210104375897
1000790,Residential_PV,1000790,OR_PDX,54.249,1,,100431,0.194201126949806
1000791,Commercial_PV,1000791,AZ_APS_E,22.1882,1,,100431,0.201996759661281
1000792,Residential_PV,1000792,WY_SW,95.979,1,,100507,0.203911495532764
1000793,Commercial_PV,1000793,CA_SCE_SE,48.5604,1,,100507,0.212086608774607
1000794,Residential_PV,1000794,CA_SDGE,19.474,1,,100764,0.20146598907596
1000795,Commercial_PV,1000795,UT_N,9.7036,1,,100764,0.210876124024746
1000796,Residential_PV,1000796,CA_SDGE,639.86,1,,100482,0.201707200978156
1000797,Commercial_PV,1000797,CA_IID,316.6545,1,,100482,0.20990870269095
1000798,Residential_PV,1000798,WY_SE,48.685,1,,100410,0.201267743640548
1000799,Commercial_PV,1000799,OR_WA_BPA,19.5398,1,,100410,0.209243382076114
1000800,Residential_PV,1000800,CO_NW,29.211,1,,100007,0.154095569446255
1000801,Commercial_PV,1000801,OR_WA_BPA,10.7688,1,,100007,0.159935878263314
1000802,Residential_PV,1000802,WA_ID_AVA,94.588,1,,100148,0.181163916121711
1000803,Commercial_PV,1000803,UT_N,36.1584,1,,100148,0.188533935270972
1000804,Residential_PV,1000804,MT_SE,70.941,1,,100005,0.147533302665743
1000805,Commercial_PV,1000805,AZ_APS_E,25.596,1,,100005,0.152908155137451
1000806,Residential_PV,1000806,CO_NW,84.851,1,,100027,0.156794081887242
1000807,Commercial_PV,1000807,AZ_APS_SW,31.057,1,,100027,0.163029016090763
1000808,Residential_PV,1000808,AZ_APS_N,107.107,1,,100028,0.166801569746744
1000809,Commercial_PV,1000809,CA_SCE_VLY,40.7376,1,,100028,0.173743190327313
1000810,Residential_PV,1000810,CA_SCE_VLY,95.979,1,,101710,0.209950150452341
1000811,Commercial_PV,1000811,WY_SW,48.9167,1,,101710,0.220428055430718
1000812,Residential_PV,1000812,WA_N_CEN,310.193,1,,101515,0.21662778952627
1000813,Commercial_PV,1000813,CA_PGE_CEN,153.1008,1,,101515,0.226690878280502
1000830,Residential_PV,1000830,CO_NW,47.294,1,,102190,0.218163779375827
1000831,Commercial_PV,1000831,CA_SCE_VLY,20.9033,1,,102190,0.22758404531678
1000832,Residential_PV,1000832,NV_N,90.415,1,,102023,0.215064417962534
1000833,Commercial_PV,1000833,NM_N,41.4922,1,,102023,0.224943881085567
1000834,Residential_PV,1000834,OR_WA_BPA,2877.979,1,,101820,0.215876646174128
1000835,Commercial_PV,1000835,AZ_PHX,1635.1153,1,,101820,0.225308957279932
1000836,Residential_PV,1000836,CO_DEN,72.332,1,,103084,0.154022296191983
1000837,Commercial_PV,1000837,WA_N_CEN,35.196,1,,103084,0.159647895618682
1000838,Residential_PV,1000838,CA_PGE_CEN,70.941,1,,102695,0.164599223305634
1000839,Commercial_PV,1000839,OR_E,34.113,1,,102695,0.170804059851001
1000864,Residential_PV,1000864,CO_DEN,16.692,1,,100378,0.180500877972568
1000865,Commercial_PV,1000865,CA_LADWP,7.5288,1,,100378,0.188976997409887
1000866,Residential_PV,1000866,CA_LADWP,1562.093,1,,100525,0.180180725897458
1000867,Commercial_PV,1000867,CA_LADWP,692.6208,1,,100525,0.188728821803099
1000868,Residential_PV,1000868,CA_LADWP,16.692,1,,100300,0.1799511369547
1000869,Commercial_PV,1000869,CA_LADWP,6.5725,1,,100300,0.187775014164307
1000870,Residential_PV,1000870,CA_LADWP,37.557,1,,100364,0.18298122592806
1000871,Commercial_PV,1000871,CA_LADWP,15.7872,1,,100364,0.190956469986674
1000872,Residential_PV,1000872,CA_LADWP,304.629,1,,100155,0.183088070566313
1000873,Commercial_PV,1000873,OR_PDX,129.002,1,,100155,0.190669774119665
1000972,Residential_PV,1000972,WA_ID_AVA,121.017,1,,100208,0.186116677703286
1000973,Commercial_PV,1000973,CA_LADWP,42.0532,1,,100208,0.193496732242134
1000974,Residential_PV,1000974,CA_LADWP,36.166,1,,100226,0.179756839501241
1000975,Commercial_PV,1000975,CO_NW,12.6644,1,,100226,0.187254120884904
1000976,Residential_PV,1000976,CO_NW,29.211,1,,100224,0.165372963584393
1000977,Commercial_PV,1000977,CO_NW,9.218,1,,100224,0.172130814009694
1000978,Residential_PV,1000978,CO_NW,45.903,1,,100622,0.167342118726315
1000979,Commercial_PV,1000979,CO_NW,14.5005,1,,100622,0.174390399657072
1000982,Residential_PV,1000982,WA_SEATAC,22.256,1,,104152,0.214889392978686
1000983,Commercial_PV,1000983,CA_LADWP,11.7819,1,,104152,0.224086194528521
1001004,Residential_PV,1001004,CA_LADWP,1039.077,1,,104279,0.203150421666967
1001005,Commercial_PV,1001005,CA_LADWP,512.1375,1,,104279,0.210768308464843
1001006,Residential_PV,1001006,CA_LADWP,724.711,1,,104258,0.179650712038347
1001007,Commercial_PV,1001007,CA_LADWP,332.694,1,,104258,0.186761833498929
1001008,Residential_PV,1001008,CA_LADWP,5305.274,1,,104256,0.188668886740435
1001009,Commercial_PV,1001009,CA_LADWP,2516.2611,1,,104256,0.196143775681938
1001010,Residential_PV,1001010,CA_LADWP,6042.504,1,,101270,0.197429661778408
1001011,Commercial_PV,1001011,OR_WA_BPA,3086.9888,1,,101270,0.206068844036887
1001018,Residential_PV,1001018,WA_N_CEN,75.114,1,,100198,0.187505818126626
1001019,Commercial_PV,1001019,AZ_APS_N,33.6391,1,,100198,0.195755358316977
1001020,Residential_PV,1001020,AZ_APS_N,205.868,1,,103694,0.196442453330285
1001021,Commercial_PV,1001021,AZ_PHX,100.2535,1,,103694,0.204627093050036
1001074,Residential_PV,1001074,WA_N_CEN,18.083,1,,100078,0.179055883348664
1001075,Commercial_PV,1001075,NV_N,6.9984,1,,100078,0.186942833116628
1001076,Residential_PV,1001076,OR_WA_BPA,31.993,1,,100037,0.176988445209527
1001077,Commercial_PV,1001077,NM_N,13.2986,1,,100037,0.184590348791117
1001078,Residential_PV,1001078,WA_ID_AVA,15.301,1,,100013,0.162019189123797
1001079,Commercial_PV,1001079,CA_PGE_CEN,6.2788,1,,100013,0.168242623856066
1001080,Residential_PV,1001080,CA_SCE_CEN,65.377,1,,100183,0.178655945882696
1001081,Commercial_PV,1001081,NM_S_TX_EPE,26.2016,1,,100183,0.18640655915036
1001082,Residential_PV,1001082,CO_E,33.384,1,,100111,0.180116442038384
1001083,Commercial_PV,1001083,NM_N,13.2816,1,,100111,0.187545185556258
1001084,Residential_PV,1001084,NV_N,253.162,1,,100100,0.172146419901178
1001085,Commercial_PV,1001085,CA_SCE_VLY,95.6032,1,,100100,0.179832031850663
1001086,Residential_PV,1001086,AZ_APS_E,173.875,1,,100139,0.18118673732804
1001087,Commercial_PV,1001087,WA_N_CEN,68.1835,1,,100139,0.188813341670775
1001088,Residential_PV,1001088,OR_PDX,47.294,1,,100175,0.176859109273611
1001089,Commercial_PV,1001089,WA_ID_AVA,18.5856,1,,100175,0.184323549212726
1001090,Residential_PV,1001090,AZ_APS_E,18.083,1,,100115,0.183056211404658
1001091,Commercial_PV,1001091,AZ_APS_E,6.7596,1,,100115,0.190615353661359
1001092,Residential_PV,1001092,AZ_NM_N,173.875,1,,100240,0.178130051872754
1001093,Commercial_PV,1001093,CO_E,70.7356,1,,100240,0.185945291868336
1001094,Residential_PV,1001094,NM_N,2217.254,1,,100087,0.17912993770753
1001095,Commercial_PV,1001095,WA_N_CEN,927.0176,1,,100087,0.186574907532547
1001128,Residential_PV,1001128,OR_WA_BPA,38.948,1,,104196,0.177033556640795
1001129,Commercial_PV,1001129,MT_NE,24.8545,1,,104196,0.183630995282571
1001142,Residential_PV,1001142,CO_DEN,25.038,1,,103798,0.191456119070391
1001143,Commercial_PV,1001143,CO_DEN,12.5013,1,,103798,0.199377858693784
1001144,Residential_PV,1001144,NM_N,34.775,1,,103800,0.200573664547189
1001145,Commercial_PV,1001145,AZ_PHX,18.0873,1,,103800,0.20864838304247
1001146,Residential_PV,1001146,CA_SCE_CEN,91.806,1,,102304,0.211200847858226
1001147,Commercial_PV,1001147,MT_NE,40.82,1,,102304,0.220297639295427
1001148,Residential_PV,1001148,OR_PDX,18.083,1,,103131,0.196359302901484
1001149,Commercial_PV,1001149,WY_SW,7.3554,1,,103131,0.203788114833299
1001150,Residential_PV,1001150,CO_E,38.948,1,,102759,0.179792542950567
1001151,Commercial_PV,1001151,CO_E,14.6718,1,,102759,0.187335854341173
1001190,Residential_PV,1001190,AZ_APS_E,23.647,1,,103720,0.196167419897049
1001191,Commercial_PV,1001191,NM_S_TX_EPE,16.371,1,,103720,0.204312275001425
1001192,Residential_PV,1001192,WY_SW,19.474,1,,103543,0.183407383345396
1001193,Commercial_PV,1001193,CA_SCE_CEN,12.4628,1,,103543,0.189732636416881
1001208,Residential_PV,1001208,OR_PDX,242.034,1,,100339,0.196157027062336
1001209,Commercial_PV,1001209,WA_ID_AVA,115.0383,1,,100339,0.204522169044685
1001210,Residential_PV,1001210,NV_N,25.038,1,,100577,0.188900155730285
1001211,Commercial_PV,1001211,WA_ID_AVA,11.4835,1,,100577,0.197784207491048
1001212,Residential_PV,1001212,CA_SCE_VLY,30.602,1,,100551,0.18182982508078
1001213,Commercial_PV,1001213,AZ_NM_N,13.692,1,,100551,0.190528269735664
1001220,Residential_PV,1001220,AZ_APS_SW,55.64,1,,100015,0.140166098099092
1001221,Commercial_PV,1001221,CO_E,12.159,1,,100015,0.145711394982912
1001222,Residential_PV,1001222,OR_E,55.64,1,,100550,0.157293727678566
1001223,Commercial_PV,1001223,MT_NE,12.0855,1,,100550,0.163052781657263
1001224,Residential_PV,1001224,AZ_NM_N,52.858,1,,100001,0.124445962946256
1001225,Commercial_PV,1001225,OR_WA_BPA,12.0292,1,,100001,0.128892477400223
1001226,Residential_PV,1001226,OR_PDX,31.993,1,,100041,0.13984682345991
1001227,Commercial_PV,1001227,CO_E,6.906,1,,100041,0.145438231325469
1001228,Residential_PV,1001228,NM_N,123.799,1,,100363,0.14436739351394
1001229,Commercial_PV,1001229,AZ_PHX,26.9334,1,,100363,0.149467152550422
1001230,Residential_PV,1001230,NV_N,45.903,1,,100000,0.124445962946257
1001231,Commercial_PV,1001231,CA_SCE_VLY,10.2602,1,,100000,0.128892477400223
1001232,Residential_PV,1001232,CA_SCE_CEN,322.712,1,,100591,0.157293727678566
1001233,Commercial_PV,1001233,CA_SCE_CEN,70.4412,1,,100591,0.163052781657263
1001236,Residential_PV,1001236,OR_WA_BPA,140.491,1,,102717,0.212902628298189
1001237,Commercial_PV,1001237,AZ_APS_E,64.766,1,,102717,0.221711094014767
1001250,Residential_PV,1001250,CA_SCE_VLY,36.166,1,,101326,0.183494248019759
1001251,Commercial_PV,1001251,NM_N,12.3417,1,,101326,0.19171584796682
1001252,Residential_PV,1001252,AZ_NM_N,854.074,1,,101472,0.18172888992195
1001253,Commercial_PV,1001253,CA_SCE_VLY,437.1125,1,,101472,0.189226043228836
1001312,Residential_PV,1001312,OR_E,168.311,1,,104275,0.187329130086583
1001313,Commercial_PV,1001313,CA_PGE_CEN,124.221,1,,104275,0.194133994873694
1001314,Residential_PV,1001314,CO_E,65.377,1,,104187,0.179702858120506
1001315,Commercial_PV,1001315,CA_SCE_VLY,48.162,1,,104187,0.185617052184458
1001318,Residential_PV,1001318,CA_SCE_CEN,40.339,1,,100052,0.145764415175137
1001319,Commercial_PV,1001319,CA_SCE_CEN,13.7919,1,,100052,0.151544100914624
1001320,Residential_PV,1001320,CA_SCE_VLY,243.425,1,,100034,0.145642569375719
