breakpoint_id,load_area,price_dollars_per_mbtu,mbtus_per_year,breakpoint_mbtus_per_year
2,AZ_NW,2.08064516129032,62492.5696973943,164161.386755287
3,AZ_NW,2.19354838709677,749.26466303392,164910.651418321
4,AZ_NW,2.9247311827957,369.040804180886,165279.692222502
5,AZ_NW,3.46774193548387,15174.1591398264,180453.851362329
6,AZ_NW,3.65591397849462,343.319778434945,180797.171140764
7,AZ_NW,3.82290934645116,13569.8518057366,194367.0229465
8,AZ_NW,4.16129032258065,60293.5526406769,254660.575587177
9,AZ_NW,5.43921293042867,7895.70560515154,262556.281192329
1,AZ_PHX,1.38709677419355,764429.482067205,2424710.456733
2,AZ_PHX,2.08064516129032,558907.732547564,2983618.18928056
3,AZ_PHX,2.19354838709677,7991.39719762698,2991609.58647819
4,AZ_PHX,2.9247311827957,3936.06130629389,2995545.64778448
5,AZ_PHX,3.46774193548387,115659.968085058,3111205.61586954
6,AZ_PHX,3.65591397849462,3661.72976070371,3114867.34563025
7,AZ_PHX,3.82290934645116,372068.847087392,3486936.19271764
8,AZ_PHX,4.16129032258065,554465.226481587,4041401.41919922
9,AZ_PHX,5.43921293042867,216545.162417441,4257946.58161666
1,AZ_SE,1.38709677419355,866482.490866978,2575511.56685484
2,AZ_SE,2.08064516129032,603040.664778157,3178552.231633
3,AZ_SE,2.19354838709677,19483.1932795029,3198035.4249125
4,AZ_SE,2.9247311827957,9596.19967497902,3207631.62458748
5,AZ_SE,3.46774193548387,59568.6231061154,3267200.24769359
6,AZ_SE,3.65591397849462,8927.37363702594,3276127.62133062
7,AZ_SE,3.82290934645116,1548664.03386517,4824791.65519579
8,AZ_SE,4.16129032258065,628487.547123718,5453279.20231951
9,AZ_SE,5.43921293042867,901327.015157859,6354606.21747737
1,CA_IID,1.38709677419355,615351.332185948,2237948.79050479
2,CA_IID,2.08064516129032,448904.898359568,2686853.68886436
3,CA_IID,3.46774193548387,42881.2398490376,2729734.9287134
4,CA_IID,3.82290934645116,781392.632871923,3511127.56158532
5,CA_IID,4.16129032258065,496953.29026924,4008080.85185456
6,CA_IID,5.43921293042867,95344.8302216215,4103425.68207618
1,CA_LADWP,1.38709677419355,1001990.37998173,3745779.93361786
2,CA_LADWP,2.08064516129032,731197.83858595,4476977.77220381
3,CA_LADWP,3.46774193548387,70086.0940880289,4547063.86629184
4,CA_LADWP,3.82290934645116,315.722841352189,4547379.58913319
5,CA_LADWP,4.16129032258065,809219.723909269,5356599.31304246
1,CA_PGE_BAY,1.38709677419355,4743685.59499002,14795557.0577497
2,CA_PGE_BAY,2.08064516129032,3451056.58925603,18246613.6470057
3,CA_PGE_BAY,2.19354838709677,818227.752375154,19064841.3993809
4,CA_PGE_BAY,2.9247311827957,390835.027129643,19455676.4265105
5,CA_PGE_BAY,3.46774193548387,320022.948121671,19775699.3746322
6,CA_PGE_BAY,3.65591397849462,362519.428225352,20138218.8028576
7,CA_PGE_BAY,3.82290934645116,93157.4504024839,20231376.25326
8,CA_PGE_BAY,4.16129032258065,3830178.98674739,24061555.2400074
9,CA_PGE_BAY,5.43921293042867,11366.9875502776,24072922.2275577
1,CA_PGE_CEN,1.38709677419355,2519336.49088954,10125709.0794802
2,CA_PGE_CEN,2.08064516129032,7003028.2137917,17128737.2932719
3,CA_PGE_CEN,2.19354838709677,565653.961382625,17694391.2546546
4,CA_PGE_CEN,2.9247311827957,270190.518387805,17964581.7730424
5,CA_PGE_CEN,3.46774193548387,5903122.92955291,23867704.7025953
6,CA_PGE_CEN,3.65591397849462,250615.491742082,24118320.1943374
7,CA_PGE_CEN,3.82290934645116,4992358.04923656,29110678.2435739
8,CA_PGE_CEN,4.16129032258065,2462206.68264149,31572884.9262154
9,CA_PGE_CEN,5.43921293042867,609162.998203813,32182047.9244192
1,CA_PGE_N,1.38709677419355,2677998.97747061,9908575.54105563
2,CA_PGE_N,2.08064516129032,31414179.6965368,41322755.2375924
3,CA_PGE_N,2.19354838709677,9859769.81872815,51182525.0563205
4,CA_PGE_N,2.9247311827957,4709621.9763846,55892147.0327052
5,CA_PGE_N,3.46774193548387,32855021.6908729,88747168.7235781
6,CA_PGE_N,3.65591397849462,4368414.670227,93115583.3938051
7,CA_PGE_N,3.82290934645116,9556495.82621522,102672079.22002
8,CA_PGE_N,4.16129032258065,4601693.04811808,107273772.268138
9,CA_PGE_N,5.43921293042867,1166074.94743085,108439847.215569
1,CA_PGE_S,1.38709677419355,934799.789682366,4875313.05573206
2,CA_PGE_S,2.08064516129032,669756.098201803,5545069.15393386
3,CA_PGE_S,2.19354838709677,9499.69233517618,5554568.84626904
4,CA_PGE_S,2.9247311827957,4537.62720802891,5559106.47347707
5,CA_PGE_S,3.46774193548387,51625.3558399118,5610731.82931698
6,CA_PGE_S,3.65591397849462,4208.88074703906,5614940.71006402
7,CA_PGE_S,3.82290934645116,2340340.18488141,7955280.89494543
8,CA_PGE_S,4.16129032258065,753928.411428657,8709209.30637409
9,CA_PGE_S,5.43921293042867,285566.185313419,8994775.4916875
1,CA_SCE_CEN,1.38709677419355,7666021.10570141,29582169.4981277
2,CA_SCE_CEN,2.08064516129032,5859227.17861428,35441396.676742
3,CA_SCE_CEN,2.19354838709677,26226.6135553348,35467623.2902973
4,CA_SCE_CEN,2.9247311827957,12527.4157257734,35480150.7060231
5,CA_SCE_CEN,3.46774193548387,830051.093799206,36310201.7998223
6,CA_SCE_CEN,3.65591397849462,11619.817246913,36321821.6170692
7,CA_SCE_CEN,3.82290934645116,1020441.84788432,37342263.4649535
8,CA_SCE_CEN,4.16129032258065,6213109.98748697,43555373.4524405
9,CA_SCE_CEN,5.43921293042867,124513.388146292,43679886.8405868
1,CA_SCE_S,1.38709677419355,4141251.86711582,15870927.8294582
2,CA_SCE_S,2.08064516129032,3067034.70752231,18937962.5369805
3,CA_SCE_S,3.46774193548387,339540.157031668,19277502.6940122
4,CA_SCE_S,3.82290934645116,123658.984620955,19401161.6786331
5,CA_SCE_S,4.16129032258065,3348249.20350413,22749410.8821372
6,CA_SCE_S,5.43921293042867,15088.7570730348,22764499.6392103
1,CA_SCE_SE,1.38709677419355,754940.548069759,3099947.06790479
2,CA_SCE_SE,2.08064516129032,563019.635057527,3662966.70296232
3,CA_SCE_SE,3.46774193548387,66229.0954096253,3729195.79837194
4,CA_SCE_SE,3.82290934645116,128967.672969878,3858163.47134182
5,CA_SCE_SE,4.16129032258065,610699.548285033,4468863.01962685
6,CA_SCE_SE,5.43921293042867,15847.9990189157,4484711.01864577
1,CA_SCE_VLY,1.38709677419355,300948.102719126,1795180.68246054
2,CA_SCE_VLY,2.08064516129032,214233.949411867,2009414.6318724
3,CA_SCE_VLY,2.19354838709677,56426.5237957178,2065841.15566812
4,CA_SCE_VLY,2.9247311827957,26952.7181087588,2092793.87377688
5,CA_SCE_VLY,3.46774193548387,15082.868890151,2107876.74266703
6,CA_SCE_VLY,3.65591397849462,25000.0211845528,2132876.76385158
7,CA_SCE_VLY,3.82290934645116,1239622.64160711,3372499.40545869
8,CA_SCE_VLY,4.16129032258065,242603.857107589,3615103.26256628
9,CA_SCE_VLY,5.43921293042867,151257.629672253,3766360.89223853
1,CA_SDGE,1.38709677419355,2741875.66565052,8719893.33637459
2,CA_SDGE,2.08064516129032,2019973.38728569,10739866.7236603
3,CA_SDGE,3.46774193548387,212967.931057987,10952834.6547183
4,CA_SDGE,3.82290934645116,6103.11008779771,10958937.7648061
5,CA_SDGE,4.16129032258065,2215953.85667791,13174891.621484
6,CA_SDGE,5.43921293042867,744.695953852774,13175636.3174378
1,CA_SMUD,1.38709677419355,984235.475340288,2674031.4526185
2,CA_SMUD,2.08064516129032,758667.147206963,3432698.59982546
3,CA_SMUD,2.19354838709677,349.341647309056,3433047.94147277
4,CA_SMUD,2.9247311827957,166.866684498558,3433214.80815727
5,CA_SMUD,3.46774193548387,113671.884913403,3546886.69307067
6,CA_SMUD,3.65591397849462,154.777363478764,3547041.47043415
7,CA_SMUD,3.82290934645116,533674.588739604,4080716.05917375
8,CA_SMUD,4.16129032258065,798227.394679342,4878943.4538531
9,CA_SMUD,5.43921293042867,65118.4889656539,4944061.94281875
1,CO_DEN,1.38709677419355,1265083.90053959,9786869.20301815
2,CO_DEN,2.08064516129032,792580.053350811,10579449.256369
