load_area,compliance_year,compliance_fraction
CA_PGE_CEN,2034,0.33
CA_PGE_CEN,2035,0.33
CA_PGE_N,2010,0.2
CA_PGE_N,2011,0.2
CA_PGE_N,2012,0.2
CA_PGE_N,2013,0.2
CA_PGE_N,2014,0.2
CA_PGE_N,2015,0.2
CA_PGE_N,2016,0.2
CA_PGE_N,2017,0.2
CA_PGE_N,2018,0.2
CA_PGE_N,2019,0.2
CA_PGE_N,2020,0.33
CA_PGE_N,2021,0.33
CA_PGE_N,2022,0.33
CA_PGE_N,2023,0.33
CA_PGE_N,2024,0.33
CA_PGE_N,2025,0.33
CA_PGE_N,2026,0.33
CA_PGE_N,2027,0.33
CA_PGE_N,2028,0.33
CA_PGE_N,2029,0.33
CA_PGE_N,2030,0.33
CA_PGE_N,2031,0.33
CA_PGE_N,2032,0.33
CA_PGE_N,2033,0.33
CA_PGE_N,2034,0.33
CA_PGE_N,2035,0.33
CA_PGE_S,2010,0.2
CA_PGE_S,2011,0.2
CA_PGE_S,2012,0.2
CA_PGE_S,2013,0.2
CA_PGE_S,2014,0.2
CA_PGE_S,2015,0.2
CA_PGE_S,2016,0.2
CA_PGE_S,2017,0.2
CA_PGE_S,2018,0.2
CA_PGE_S,2019,0.2
CA_PGE_S,2020,0.33
CA_PGE_S,2021,0.33
CA_PGE_S,2022,0.33
CA_PGE_S,2023,0.33
CA_PGE_S,2024,0.33
CA_PGE_S,2025,0.33
CA_PGE_S,2026,0.33
CA_PGE_S,2027,0.33
CA_PGE_S,2028,0.33
CA_PGE_S,2029,0.33
CA_PGE_S,2030,0.33
CA_PGE_S,2031,0.33
CA_PGE_S,2032,0.33
CA_PGE_S,2033,0.33
CA_PGE_S,2034,0.33
CA_PGE_S,2035,0.33
CA_SCE_CEN,2010,0.2
CA_SCE_CEN,2011,0.2
CA_SCE_CEN,2012,0.2
CA_SCE_CEN,2013,0.2
CA_SCE_CEN,2014,0.2
CA_SCE_CEN,2015,0.2
CA_SCE_CEN,2016,0.2
CA_SCE_CEN,2017,0.2
CA_SCE_CEN,2018,0.2
CA_SCE_CEN,2019,0.2
CA_SCE_CEN,2020,0.33
CA_SCE_CEN,2021,0.33
CA_SCE_CEN,2022,0.33
CA_SCE_CEN,2023,0.33
CA_SCE_CEN,2024,0.33
CA_SCE_CEN,2025,0.33
CA_SCE_CEN,2026,0.33
CA_SCE_CEN,2027,0.33
CA_SCE_CEN,2028,0.33
CA_SCE_CEN,2029,0.33
CA_SCE_CEN,2030,0.33
CA_SCE_CEN,2031,0.33
CA_SCE_CEN,2032,0.33
CA_SCE_CEN,2033,0.33
CA_SCE_CEN,2034,0.33
CA_SCE_CEN,2035,0.33
CA_SCE_S,2010,0.2
CA_SCE_S,2011,0.2
CA_SCE_S,2012,0.2
CA_SCE_S,2013,0.2
CA_SCE_S,2014,0.2
CA_SCE_S,2015,0.2
CA_SCE_S,2016,0.2
CA_SCE_S,2017,0.2
CA_SCE_S,2018,0.2
CA_SCE_S,2019,0.2
CA_SCE_S,2020,0.33
CA_SCE_S,2021,0.33
CA_SCE_S,2022,0.33
CA_SCE_S,2023,0.33
CA_SCE_S,2024,0.33
CA_SCE_S,2025,0.33
CA_SCE_S,2026,0.33
CA_SCE_S,2027,0.33
CA_SCE_S,2028,0.33
CA_SCE_S,2029,0.33
CA_SCE_S,2030,0.33
CA_SCE_S,2031,0.33
CA_SCE_S,2032,0.33
CA_SCE_S,2033,0.33
CA_SCE_S,2034,0.33
CA_SCE_S,2035,0.33
CA_SCE_SE,2010,0.199861501373553
CA_SCE_SE,2011,0.199865458477166
CA_SCE_SE,2012,0.199869415580779
CA_SCE_SE,2013,0.199873372684391
CA_SCE_SE,2014,0.199877329788004
CA_SCE_SE,2015,0.199881286891617
CA_SCE_SE,2016,0.199889201098842
CA_SCE_SE,2017,0.199897115306068
CA_SCE_SE,2018,0.199905029513294
CA_SCE_SE,2019,0.199912943720519
CA_SCE_SE,2020,0.329817973233813
CA_SCE_SE,2021,0.329825887441038
CA_SCE_SE,2022,0.329833801648264
CA_SCE_SE,2023,0.329841715855489
CA_SCE_SE,2024,0.329849630062715
CA_SCE_SE,2025,0.32985754426994
CA_SCE_SE,2026,0.32985754426994
CA_SCE_SE,2027,0.32985754426994
CA_SCE_SE,2028,0.32985754426994
CA_SCE_SE,2029,0.32985754426994
CA_SCE_SE,2030,0.32985754426994
CA_SCE_SE,2031,0.32985754426994
CA_SCE_SE,2032,0.32985754426994
CA_SCE_SE,2033,0.32985754426994
CA_SCE_SE,2034,0.32985754426994
CA_SCE_SE,2035,0.32985754426994
CA_SCE_VLY,2010,0.2
CA_SCE_VLY,2011,0.2
CA_SCE_VLY,2012,0.2
CA_SCE_VLY,2013,0.2
CA_SCE_VLY,2014,0.2
CA_SCE_VLY,2015,0.2
CA_SCE_VLY,2016,0.2
CA_SCE_VLY,2017,0.2
CA_SCE_VLY,2018,0.2
CA_SCE_VLY,2019,0.2
CA_SCE_VLY,2020,0.33
CA_SCE_VLY,2021,0.33
CA_SCE_VLY,2022,0.33
CA_SCE_VLY,2023,0.33
CA_SCE_VLY,2024,0.33
CA_SCE_VLY,2025,0.33
CA_SCE_VLY,2026,0.33
CA_SCE_VLY,2027,0.33
CA_SCE_VLY,2028,0.33
CA_SCE_VLY,2029,0.33
CA_SCE_VLY,2030,0.33
CA_SCE_VLY,2031,0.33
CA_SCE_VLY,2032,0.33
CA_SCE_VLY,2033,0.33
CA_SCE_VLY,2034,0.33
CA_SCE_VLY,2035,0.33
CA_SDGE,2010,0.2
CA_SDGE,2011,0.2
CA_SDGE,2012,0.2
CA_SDGE,2013,0.2
CA_SDGE,2014,0.2
CA_SDGE,2015,0.2
CA_SDGE,2016,0.2
CA_SDGE,2017,0.2
CA_SDGE,2018,0.2
CA_SDGE,2019,0.2
CA_SDGE,2020,0.33
CA_SDGE,2021,0.33
CA_SDGE,2022,0.33
CA_SDGE,2023,0.33
CA_SDGE,2024,0.33
CA_SDGE,2025,0.33
CA_SDGE,2026,0.33
CA_SDGE,2027,0.33
CA_SDGE,2028,0.33
CA_SDGE,2029,0.33
CA_SDGE,2030,0.33
CA_SDGE,2031,0.33
CA_SDGE,2032,0.33
CA_SDGE,2033,0.33
CA_SDGE,2034,0.33
CA_SDGE,2035,0.33
CA_SMUD,2010,0.2
CA_SMUD,2011,0.2
CA_SMUD,2012,0.2
CA_SMUD,2013,0.2
CA_SMUD,2014,0.2
CA_SMUD,2015,0.2
CA_SMUD,2016,0.2
CA_SMUD,2017,0.2
CA_SMUD,2018,0.2
CA_SMUD,2019,0.2
CA_SMUD,2020,0.33
CA_SMUD,2021,0.33
CA_SMUD,2022,0.33
CA_SMUD,2023,0.33
CA_SMUD,2024,0.33
CA_SMUD,2025,0.33
CA_SMUD,2026,0.33
CA_SMUD,2027,0.33
CA_SMUD,2028,0.33
CA_SMUD,2029,0.33
CA_SMUD,2030,0.33
CA_SMUD,2031,0.33
CA_SMUD,2032,0.33
CA_SMUD,2033,0.33
CA_SMUD,2034,0.33
CA_SMUD,2035,0.33
CO_DEN,2010,0.05
CO_DEN,2011,0.12
CO_DEN,2012,0.12
CO_DEN,2013,0.12
CO_DEN,2014,0.12
CO_DEN,2015,0.2
CO_DEN,2016,0.2
CO_DEN,2017,0.2
CO_DEN,2018,0.2
CO_DEN,2019,0.2
CO_DEN,2020,0.3
CO_DEN,2021,0.3
CO_DEN,2022,0.3
CO_DEN,2023,0.3
CO_DEN,2024,0.3
CO_DEN,2025,0.3
CO_DEN,2026,0.3
CO_DEN,2027,0.3
CO_DEN,2028,0.3
CO_DEN,2029,0.3
CO_DEN,2030,0.3
CO_DEN,2031,0.3
CO_DEN,2032,0.3
CO_DEN,2033,0.3
CO_DEN,2034,0.3
CO_DEN,2035,0.3
CO_E,2010,0.05
CO_E,2011,0.12
CO_E,2012,0.12
CO_E,2013,0.12
CO_E,2014,0.12
CO_E,2015,0.2
CO_E,2016,0.2
CO_E,2017,0.2
CO_E,2018,0.2
CO_E,2019,0.2
CO_E,2020,0.3
CO_E,2021,0.3
CO_E,2022,0.3
CO_E,2023,0.3
CO_E,2024,0.3
CO_E,2025,0.3
CO_E,2026,0.3
CO_E,2027,0.3
CO_E,2028,0.3
CO_E,2029,0.3
CO_E,2030,0.3
CO_E,2031,0.3
CO_E,2032,0.3
CO_E,2033,0.3
CO_E,2034,0.3
CO_E,2035,0.3
CO_NW,2010,0.05
CO_NW,2011,0.12
CO_NW,2012,0.12
CO_NW,2013,0.12
CO_NW,2014,0.12
CO_NW,2015,0.2
CO_NW,2016,0.2
CO_NW,2017,0.2
CO_NW,2018,0.2
CO_NW,2019,0.2
CO_NW,2020,0.3
CO_NW,2021,0.3
CO_NW,2022,0.3
CO_NW,2023,0.3
CO_NW,2024,0.3
CO_NW,2025,0.3
CO_NW,2026,0.3
CO_NW,2027,0.3
CO_NW,2028,0.3
CO_NW,2029,0.3
CO_NW,2030,0.3
CO_NW,2031,0.3
CO_NW,2032,0.3
CO_NW,2033,0.3
CO_NW,2034,0.3
CO_NW,2035,0.3
CO_SW,2010,0.05
CO_SW,2011,0.12
CO_SW,2012,0.12
CO_SW,2013,0.12
CO_SW,2014,0.12
CO_SW,2015,0.2
CO_SW,2016,0.2
CO_SW,2017,0.2
CO_SW,2018,0.2
CO_SW,2019,0.2
CO_SW,2020,0.3
CO_SW,2021,0.3
CO_SW,2022,0.3
CO_SW,2023,0.3
CO_SW,2024,0.3
CO_SW,2025,0.3
CO_SW,2026,0.3
CO_SW,2027,0.3
CO_SW,2028,0.3
CO_SW,2029,0.3
CO_SW,2030,0.3
CO_SW,2031,0.3
CO_SW,2032,0.3
CO_SW,2033,0.3
CO_SW,2034,0.3
CO_SW,2035,0.3
ID_E,2010,0.000290812302148506
ID_E,2011,0.000290812302148506
ID_E,2012,0.000290812302148506
ID_E,2013,0.000290812302148506
ID_E,2014,0.000290812302148506
ID_E,2015,0.000436218453222759
ID_E,2016,0.000436218453222759
ID_E,2017,0.000436218453222759
ID_E,2018,0.000436218453222759
ID_E,2019,0.000436218453222759
ID_E,2020,0.000436218453222759
ID_E,2021,0.000436218453222759
ID_E,2022,0.000436218453222759
ID_E,2023,0.000436218453222759
ID_E,2024,0.000436218453222759
ID_E,2025,0.000436218453222759
ID_E,2026,0.000436218453222759
ID_E,2027,0.000436218453222759
ID_E,2028,0.000436218453222759
ID_E,2029,0.000436218453222759
ID_E,2030,0.000436218453222759
ID_E,2031,0.000436218453222759
ID_E,2032,0.000436218453222759
ID_E,2033,0.000436218453222759
ID_E,2034,0.000436218453222759
ID_E,2035,0.000436218453222759
ID_S_OR_E,2010,0
ID_S_OR_E,2011,0.00470842340922619
ID_S_OR_E,2012,0.00470842340922619
ID_S_OR_E,2013,0.00470842340922619
ID_S_OR_E,2014,0.00470842340922619
ID_S_OR_E,2015,0.0141252702276786
ID_S_OR_E,2016,0.0141252702276786
ID_S_OR_E,2017,0.0141252702276786
ID_S_OR_E,2018,0.0141252702276786
ID_S_OR_E,2019,0.0141252702276786
ID_S_OR_E,2020,0.0188336936369048
ID_S_OR_E,2021,0.0188336936369048
ID_S_OR_E,2022,0.0188336936369048
ID_S_OR_E,2023,0.0188336936369048
ID_S_OR_E,2024,0.0188336936369048
ID_S_OR_E,2025,0.023542117046131
ID_S_OR_E,2026,0.023542117046131
ID_S_OR_E,2027,0.023542117046131
ID_S_OR_E,2028,0.023542117046131
ID_S_OR_E,2029,0.023542117046131
ID_S_OR_E,2030,0.023542117046131
ID_S_OR_E,2031,0.023542117046131
ID_S_OR_E,2032,0.023542117046131
ID_S_OR_E,2033,0.023542117046131
ID_S_OR_E,2034,0.023542117046131
ID_S_OR_E,2035,0.023542117046131
MT_NE,2010,0.1
MT_NE,2011,0.1
MT_NE,2012,0.1
MT_NE,2013,0.1
MT_NE,2014,0.1
MT_NE,2015,0.15
MT_NE,2016,0.15
MT_NE,2017,0.15
MT_NE,2018,0.15
MT_NE,2019,0.15
MT_NE,2020,0.15
MT_NE,2021,0.15
MT_NE,2022,0.15
MT_NE,2023,0.15
MT_NE,2024,0.15
MT_NE,2025,0.15
MT_NE,2026,0.15
MT_NE,2027,0.15
MT_NE,2028,0.15
MT_NE,2029,0.15
MT_NE,2030,0.15
MT_NE,2031,0.15
MT_NE,2032,0.15
MT_NE,2033,0.15
MT_NE,2034,0.15
MT_NE,2035,0.15
MT_NW,2010,0.1
MT_NW,2011,0.1
MT_NW,2012,0.1
MT_NW,2013,0.1
MT_NW,2014,0.1
MT_NW,2015,0.15
MT_NW,2016,0.15
MT_NW,2017,0.15
MT_NW,2018,0.15
MT_NW,2019,0.15
MT_NW,2020,0.15
MT_NW,2021,0.15
MT_NW,2022,0.15
MT_NW,2023,0.15
MT_NW,2024,0.15
MT_NW,2025,0.15
MT_NW,2026,0.15
MT_NW,2027,0.15
MT_NW,2028,0.15
MT_NW,2029,0.15
MT_NW,2030,0.15
MT_NW,2031,0.15
MT_NW,2032,0.15
MT_NW,2033,0.15
MT_NW,2034,0.15
MT_NW,2035,0.15
MT_SE,2010,0.0995343218112971
