breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
5,AZ_APS_E,2025,428.9512,7232008
6,AZ_APS_E,2025,1321.7915,7242385
7,AZ_APS_E,2025,1356.5440,7250162
8,AZ_APS_E,2025,1741.1771,7259079
9,AZ_APS_E,2025,999999999.0000,
1,AZ_APS_E,2026,1.8572,682200
2,AZ_APS_E,2026,3.9322,983579
3,AZ_APS_E,2026,4.4438,4113231
4,AZ_APS_E,2026,4.7590,7215023
5,AZ_APS_E,2026,564.1589,7239904
6,AZ_APS_E,2026,1211.7981,7250281
7,AZ_APS_E,2026,1246.5851,7258058
8,AZ_APS_E,2026,1631.6335,7266975
9,AZ_APS_E,2026,999999999.0000,
1,AZ_APS_E,2027,1.8588,674348
2,AZ_APS_E,2027,3.9046,977164
3,AZ_APS_E,2027,4.4407,4106966
4,AZ_APS_E,2027,4.7583,7208809
5,AZ_APS_E,2027,563.6761,7233690
6,AZ_APS_E,2027,1210.7648,7244067
7,AZ_APS_E,2027,1245.5246,7251844
8,AZ_APS_E,2027,1630.2462,7260761
9,AZ_APS_E,2027,999999999.0000,
1,AZ_APS_E,2028,1.8605,679181
2,AZ_APS_E,2028,3.8866,986759
3,AZ_APS_E,2028,4.4455,4116571
4,AZ_APS_E,2028,4.7594,7218466
5,AZ_APS_E,2028,564.4205,7243346
6,AZ_APS_E,2028,1212.3705,7253724
7,AZ_APS_E,2028,1247.1726,7261500
8,AZ_APS_E,2028,1632.4020,7270417
9,AZ_APS_E,2028,999999999.0000,
1,AZ_APS_E,2029,1.8620,675696
2,AZ_APS_E,2029,3.8682,984868
3,AZ_APS_E,2029,4.4447,4114681
4,AZ_APS_E,2029,4.7590,7215650
5,AZ_APS_E,2029,428.0390,7241506
6,AZ_APS_E,2029,1322.0484,7251884
7,AZ_APS_E,2029,1356.8424,7259661
8,AZ_APS_E,2029,1741.9751,7268578
9,AZ_APS_E,2029,999999999.0000,
1,AZ_APS_E,2030,1.8640,681448
2,AZ_APS_E,2030,3.8482,996270
3,AZ_APS_E,2030,4.4504,4126082
4,AZ_APS_E,2030,4.7604,7228078
5,AZ_APS_E,2030,565.1593,7252959
6,AZ_APS_E,2030,1213.9689,7263336
7,AZ_APS_E,2030,1248.8130,7271113
8,AZ_APS_E,2030,1634.5481,7280030
9,AZ_APS_E,2030,999999999.0000,
1,AZ_APS_E,2031,1.8640,681448
2,AZ_APS_E,2031,3.8482,996270
3,AZ_APS_E,2031,4.4504,4126082
4,AZ_APS_E,2031,4.7604,7228078
5,AZ_APS_E,2031,565.1593,7252959
6,AZ_APS_E,2031,1213.9689,7263336
7,AZ_APS_E,2031,1248.8130,7271113
8,AZ_APS_E,2031,1634.5481,7280030
9,AZ_APS_E,2031,999999999.0000,
1,AZ_APS_E,2032,1.8640,681448
2,AZ_APS_E,2032,3.8482,996270
3,AZ_APS_E,2032,4.4504,4126082
4,AZ_APS_E,2032,4.7604,7228078
5,AZ_APS_E,2032,565.1593,7252959
6,AZ_APS_E,2032,1213.9689,7263336
7,AZ_APS_E,2032,1248.8130,7271113
8,AZ_APS_E,2032,1634.5481,7280030
9,AZ_APS_E,2032,999999999.0000,
1,AZ_APS_E,2033,1.8640,681448
2,AZ_APS_E,2033,3.8482,996270
3,AZ_APS_E,2033,4.4504,4126082
4,AZ_APS_E,2033,4.7604,7228078
5,AZ_APS_E,2033,565.1593,7252959
6,AZ_APS_E,2033,1213.9689,7263336
7,AZ_APS_E,2033,1248.8130,7271113
8,AZ_APS_E,2033,1634.5481,7280030
9,AZ_APS_E,2033,999999999.0000,
1,AZ_APS_E,2034,1.8640,681448
2,AZ_APS_E,2034,3.8482,996270
3,AZ_APS_E,2034,4.4504,4126082
4,AZ_APS_E,2034,4.7604,7228078
5,AZ_APS_E,2034,565.1593,7252959
6,AZ_APS_E,2034,1213.9689,7263336
7,AZ_APS_E,2034,1248.8130,7271113
8,AZ_APS_E,2034,1634.5481,7280030
9,AZ_APS_E,2034,999999999.0000,
1,AZ_APS_E,2035,1.8640,681448
2,AZ_APS_E,2035,3.8482,996270
3,AZ_APS_E,2035,4.4504,4126082
4,AZ_APS_E,2035,4.7604,7228078
5,AZ_APS_E,2035,565.1593,7252959
6,AZ_APS_E,2035,1213.9689,7263336
7,AZ_APS_E,2035,1248.8130,7271113
8,AZ_APS_E,2035,1634.5481,7280030
9,AZ_APS_E,2035,999999999.0000,
1,AZ_APS_E,2036,1.8640,681448
2,AZ_APS_E,2036,3.8482,996270
3,AZ_APS_E,2036,4.4504,4126082
4,AZ_APS_E,2036,4.7604,7228078
5,AZ_APS_E,2036,565.1593,7252959
6,AZ_APS_E,2036,1213.9689,7263336
7,AZ_APS_E,2036,1248.8130,7271113
8,AZ_APS_E,2036,1634.5481,7280030
9,AZ_APS_E,2036,999999999.0000,
1,AZ_APS_E,2037,1.8640,681448
2,AZ_APS_E,2037,3.8482,996270
3,AZ_APS_E,2037,4.4504,4126082
4,AZ_APS_E,2037,4.7604,7228078
5,AZ_APS_E,2037,565.1593,7252959
6,AZ_APS_E,2037,1213.9689,7263336
7,AZ_APS_E,2037,1248.8130,7271113
8,AZ_APS_E,2037,1634.5481,7280030
9,AZ_APS_E,2037,999999999.0000,
1,AZ_APS_E,2038,1.8640,681448
2,AZ_APS_E,2038,3.8482,996270
3,AZ_APS_E,2038,4.4504,4126082
4,AZ_APS_E,2038,4.7604,7228078
5,AZ_APS_E,2038,565.1593,7252959
6,AZ_APS_E,2038,1213.9689,7263336
7,AZ_APS_E,2038,1248.8130,7271113
8,AZ_APS_E,2038,1634.5481,7280030
