ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2016092106	2014	20160921	232.0	9	6
2016092108	2014	20160921	232.0	9	8
2016092110	2014	20160921	232.0	9	10
2016092112	2014	20160921	232.0	9	12
2016092114	2014	20160921	232.0	9	14
2016092116	2014	20160921	232.0	9	16
2016092118	2014	20160921	232.0	9	18
2016092120	2014	20160921	232.0	9	20
2016092122	2014	20160921	232.0	9	22
2016093001	2014	20160930	8.0	9	1
2016093003	2014	20160930	8.0	9	3
2016093005	2014	20160930	8.0	9	5
2016093007	2014	20160930	8.0	9	7
2016093009	2014	20160930	8.0	9	9
2016093011	2014	20160930	8.0	9	11
2016093013	2014	20160930	8.0	9	13
2016093015	2014	20160930	8.0	9	15
2016093017	2014	20160930	8.0	9	17
2016093019	2014	20160930	8.0	9	19
2016093021	2014	20160930	8.0	9	21
2016093023	2014	20160930	8.0	9	23
2016100101	2014	20161001	8.0	10	1
2016100103	2014	20161001	8.0	10	3
2016100105	2014	20161001	8.0	10	5
2016100107	2014	20161001	8.0	10	7
2016100109	2014	20161001	8.0	10	9
2016100111	2014	20161001	8.0	10	11
2016100113	2014	20161001	8.0	10	13
2016100115	2014	20161001	8.0	10	15
2016100117	2014	20161001	8.0	10	17
2016100119	2014	20161001	8.0	10	19
2016100121	2014	20161001	8.0	10	21
2016100123	2014	20161001	8.0	10	23
2016100400	2014	20161004	240.0	10	0
2016100402	2014	20161004	240.0	10	2
2016100404	2014	20161004	240.0	10	4
2016100406	2014	20161004	240.0	10	6
2016100408	2014	20161004	240.0	10	8
2016100410	2014	20161004	240.0	10	10
2016100412	2014	20161004	240.0	10	12
2016100414	2014	20161004	240.0	10	14
2016100416	2014	20161004	240.0	10	16
2016100418	2014	20161004	240.0	10	18
2016100420	2014	20161004	240.0	10	20
2016100422	2014	20161004	240.0	10	22
2016111301	2014	20161113	8.0	11	1
2016111303	2014	20161113	8.0	11	3
2016111305	2014	20161113	8.0	11	5
2016111307	2014	20161113	8.0	11	7
2016111309	2014	20161113	8.0	11	9
2016111311	2014	20161113	8.0	11	11
2016111313	2014	20161113	8.0	11	13
2016111315	2014	20161113	8.0	11	15
2016111317	2014	20161113	8.0	11	17
2016111319	2014	20161113	8.0	11	19
2016111321	2014	20161113	8.0	11	21
2016111323	2014	20161113	8.0	11	23
2016111600	2014	20161116	232.0	11	0
2016111602	2014	20161116	232.0	11	2
2016111604	2014	20161116	232.0	11	4
2016111606	2014	20161116	232.0	11	6
2016111608	2014	20161116	232.0	11	8
2016111610	2014	20161116	232.0	11	10
2016111612	2014	20161116	232.0	11	12
2016111614	2014	20161116	232.0	11	14
2016111616	2014	20161116	232.0	11	16
2016111618	2014	20161116	232.0	11	18
2016111620	2014	20161116	232.0	11	20
2016111622	2014	20161116	232.0	11	22
2016120700	2014	20161207	240.0	12	0
2016120702	2014	20161207	240.0	12	2
2016120704	2014	20161207	240.0	12	4
2016120706	2014	20161207	240.0	12	6
2016120708	2014	20161207	240.0	12	8
2016120710	2014	20161207	240.0	12	10
2016120712	2014	20161207	240.0	12	12
2016120714	2014	20161207	240.0	12	14
2016120716	2014	20161207	240.0	12	16
2016120718	2014	20161207	240.0	12	18
2016120720	2014	20161207	240.0	12	20
2016120722	2014	20161207	240.0	12	22
2016122501	2014	20161225	8.0	12	1
2016122503	2014	20161225	8.0	12	3
