ampl.tab 4 1
project_id	la_id	technology	date	average_output_mw
SIC64	S18	Hydro_NonPumped	20160306	131.6
SIC64	S18	Hydro_NonPumped	20160325	131.6
SIC64	S18	Hydro_NonPumped	20160403	127.6
SIC64	S18	Hydro_NonPumped	20160421	127.6
SIC64	S18	Hydro_NonPumped	20160520	134.5
SIC64	S18	Hydro_NonPumped	20160515	134.5
SIC64	S18	Hydro_NonPumped	20160630	111.6
SIC64	S18	Hydro_NonPumped	20160614	111.6
SIC64	S18	Hydro_NonPumped	20160711	128.4
SIC64	S18	Hydro_NonPumped	20160710	128.4
SIC64	S18	Hydro_NonPumped	20160827	96.6
SIC64	S18	Hydro_NonPumped	20160810	96.6
SIC64	S18	Hydro_NonPumped	20160921	63.1
SIC64	S18	Hydro_NonPumped	20160930	63.1
SIC64	S18	Hydro_NonPumped	20161001	109.1
SIC64	S18	Hydro_NonPumped	20161004	109.1
SIC64	S18	Hydro_NonPumped	20161116	79.3
SIC64	S18	Hydro_NonPumped	20161113	79.3
SIC64	S18	Hydro_NonPumped	20161225	109.2
SIC64	S18	Hydro_NonPumped	20161207	109.2
SIC64	S18	Hydro_NonPumped	20200108	121.6
SIC64	S18	Hydro_NonPumped	20200118	121.6
SIC64	S18	Hydro_NonPumped	20200220	129.2
SIC64	S18	Hydro_NonPumped	20200221	129.2
SIC64	S18	Hydro_NonPumped	20200325	139.8
SIC64	S18	Hydro_NonPumped	20200306	139.8
SIC64	S18	Hydro_NonPumped	20200403	127.4
SIC64	S18	Hydro_NonPumped	20200421	127.4
SIC64	S18	Hydro_NonPumped	20200515	131.2
SIC64	S18	Hydro_NonPumped	20200520	131.2
SIC64	S18	Hydro_NonPumped	20200630	89.5
SIC64	S18	Hydro_NonPumped	20200614	89.5
SIC64	S18	Hydro_NonPumped	20200711	112.2
SIC64	S18	Hydro_NonPumped	20200710	112.2
SIC64	S18	Hydro_NonPumped	20200827	68.4
SIC64	S18	Hydro_NonPumped	20200810	68.4
SIC64	S18	Hydro_NonPumped	20200921	74.4
SIC64	S18	Hydro_NonPumped	20200930	74.4
SIC64	S18	Hydro_NonPumped	20201004	95.2
SIC64	S18	Hydro_NonPumped	20201001	95.2
SIC64	S18	Hydro_NonPumped	20201116	84.0
SIC64	S18	Hydro_NonPumped	20201113	84.0
SIC64	S18	Hydro_NonPumped	20201207	92.2
SIC64	S18	Hydro_NonPumped	20201225	92.2
SIC64	S18	Hydro_NonPumped	20240116	82.7
SIC64	S18	Hydro_NonPumped	20240118	82.7
SIC64	S18	Hydro_NonPumped	20240220	93.1
SIC64	S18	Hydro_NonPumped	20240221	93.1
SIC64	S18	Hydro_NonPumped	20240325	124.7
SIC64	S18	Hydro_NonPumped	20240306	124.7
SIC64	S18	Hydro_NonPumped	20240421	140.7
