ampl.tab 2 1		
year	technology	finance_rate_schedule
2014	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2014	Gas_Internal_Combustion_Engine_Existing	0.07
2014	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2014	Battery_Storage	0.07
2014	Gas_Steam_Turbine_Cogen_CCS	0.07
2014	Gas_Steam_Turbine_Existing	0.07
2014	Gas_Steam_Turbine_Cogen_Existing	0.07
2014	Bio_Gas	0.07
2014	Coal_Steam_Turbine_Cogen_CCS	0.07
2014	Bio_Gas_CCS	0.07
2014	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2014	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2014	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2014	Bio_Gas_Steam_Turbine_Existing	0.07
2014	Bio_Liquid_Steam_Turbine_Cogen	0.07
2014	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2014	Biomass_IGCC	0.07
2014	Biomass_IGCC_CCS	0.07
2014	Bio_Solid_Steam_Turbine_Cogen	0.07
2014	Bio_Solid_Steam_Turbine_Cogen_CCS	0.07
2014	Bio_Gas_Internal_Combustion_Engine_EP	0.07
2014	Coal_Steam_Turbine_CCS	0.07
2014	Coal_Steam_Turbine_Cogen	0.07
2014	Coal_Steam_Turbine_Cogen_Existing	0.07
2014	Coal_IGCC	0.07
2014	Coal_IGCC_CCS	0.07
2014	Nuclear_Existing	0.07
2014	Geothermal_Existing	0.07
2014	Residential_PV	0.07
2014	Commercial_PV	0.08
2014	Concentrating_PV	0.08
2014	CSP_Trough_No_Storage	0.08
2014	Offshore_Wind	0.07
2014	Hydro_Pumped	0.07
2014	Compressed_Air_Energy_Storage	0.07
2014	Coal_IGCC_Existing	0.07
2014	CCGT	0.07
2014	Gas_Combustion_Turbine	0.07
2014	CCGT_EP	0.07
2014	Gas_Combustion_Turbine_EP	0.07
2014	Coal_Steam_Turbine	0.07
2014	Bio_Liquid_Steam_Turbine_Cogen_EP	0.07
2014	Bio_Solid_Steam_Turbine_EP	0.07
2014	Bio_Solid_Steam_Turbine_Cogen_EP	0.07
2014	Central_PV	0.08
2014	CSP_Trough_6h_Storage	0.08
2014	Wind	0.08
2014	Wind_EP	0.07
2014	Nuclear	0.07
2014	DistillateFuelOil_Internal_Combustion_Engine	0.07
2014	DistillateFuelOil_Combustion_Turbine_EP	0.07
2014	DistillateFuelOil_Internal_Combustion_Engine_EP	0.07
2014	Coal_Steam_Turbine_EP	0.07
2014	Biomass_Steam_Turbine	0.07
2014	DistillateFuelOil_Combustion_Turbine	0.07
2014	Hydro_NonPumped	0.07
2014	Hydro_RoR_EP	0.07
2014	Hydro_RoR	0.07
2014	Hydro_NonPumped_New	0.07
2014	Hydro_RoR_RPS	0.07
2014	Geothermal	0.13
2015	Gas_Steam_Turbine_Cogen	0.07
2015	CCGT_Cogen	0.07
2015	CCGT_Cogen_CCS	0.07
2015	CCGT_CCS	0.07
2015	CCGT_Cogen_Existing	0.07
2015	Gas_Combustion_Turbine_Cogen	0.07
2015	Gas_Combustion_Turbine_Cogen_CCS	0.07
2015	Gas_Combustion_Turbine_CCS	0.07
2015	Gas_Combustion_Turbine_Cogen_Existing	0.07
2015	Gas_Internal_Combustion_Engine_Cogen	0.07
2015	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2015	Gas_Internal_Combustion_Engine_Existing	0.07
2015	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2015	Battery_Storage	0.07
2015	Gas_Steam_Turbine_Cogen_CCS	0.07
2015	Gas_Steam_Turbine_Existing	0.07
2015	Gas_Steam_Turbine_Cogen_Existing	0.07
2015	Bio_Gas	0.07
2015	Coal_Steam_Turbine_Cogen_CCS	0.07
2015	Bio_Gas_CCS	0.07
2015	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2015	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2015	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2015	Bio_Gas_Steam_Turbine_Existing	0.07
2015	Bio_Liquid_Steam_Turbine_Cogen	0.07
2015	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2015	Biomass_IGCC	0.07
2015	Biomass_IGCC_CCS	0.07
2015	Bio_Solid_Steam_Turbine_Cogen	0.07
2015	Bio_Solid_Steam_Turbine_Cogen_CCS	0.07
2015	Bio_Gas_Internal_Combustion_Engine_EP	0.07
2015	Coal_Steam_Turbine_CCS	0.07
2015	Coal_Steam_Turbine_Cogen	0.07
2015	Coal_Steam_Turbine_Cogen_Existing	0.07
2015	Coal_IGCC	0.07
