ampl.tab 2 1
province	hour	system_load
Tianjin	2021021108	12948.7185427686
Guangdong	2021021108	73384.6851978014
Liaoning	2021021108	34139.3429401002
Hubei	2021021108	26383.8066801652
Beijing	2021021108	12394.4981702721
Heilongjiang	2021021108	14344.690169801
West_Inner_Mongolia	2021021108	25074.8573747792
Jiangsu	2021021108	73580.3004700085
Hebei	2021021108	58131.8831762314
Hainan	2021021108	3730.1440722812
Shaanxi	2021021108	16987.0446528454
Gansu	2021021108	14940.6778747176
Shanxi	2021021108	33115.8720835662
Ningxia	2021021108	10630.1877098634
Yunnan	2021021108	19458.4616777517
Anhui	2021021108	21463.9911652744
Qinghai	2021021108	8370.90476803778
Sichuan	2021021108	29532.9494031401
Shandong	2021021108	65108.2747919012
Shanghai	2021021108	23358.9302260656
Fujian	2021021108	26423.883027467
Xinjiang	2021021108	15613.5419905713
Chongqing	2021021108	13321.2214269985
Macau	2021021112	442.043519994038
Hong_Kong	2021021112	5363.12166909193
Taiwan	2021021112	29274.2365690576
Tibet	2021021112	613.536023341581
Jilin	2021021112	13445.2160865488
Jiangxi	2021021112	15646.5189298823
Hunan	2021021112	28279.5367370203
Zhejiang	2021021112	64934.9191864902
East_Inner_Mongolia	2021021112	11332.416215861
Henan	2021021112	58966.8985403551
Guizhou	2021021112	20199.2232326498
Guangxi	2021021112	24707.1754061452
Tianjin	2021021112	15607.8305676281
Guangdong	2021021112	88454.7555067263
Liaoning	2021021112	41150.1013431794
Hubei	2021021112	31801.9102070178
Beijing	2021021112	14939.7970751645
Heilongjiang	2021021112	17290.4749590383
West_Inner_Mongolia	2021021112	30224.1587938102
Jiangsu	2021021112	88690.5417750712
Hebei	2021021112	70069.6814279333
Hainan	2021021112	4496.15585362466
Shaanxi	2021021112	20475.4558461238
Gansu	2021021112	18008.8530045571
Shanxi	2021021112	39916.4534214236
Ningxia	2021021112	12813.1728347966
Yunnan	2021021112	23454.3960446681
Anhui	2021021112	25871.7753657375
Qinghai	2021021112	10089.9299715066
Sichuan	2021021112	35597.7519261135
Shandong	2021021112	78478.7249909047
Shanghai	2021021112	28155.8537244664
Fujian	2021021112	31850.2165190586
Xinjiang	2021021112	18819.8945821923
Chongqing	2021021112	16056.8295850837
Macau	2021021116	420.759935652364
Hong_Kong	2021021116	5104.89720200707
Taiwan	2021021116	27864.7357962286
Tibet	2021021116	583.995389650984
Jilin	2021021116	12797.8536038368
Jiangxi	2021021116	14893.1677546355
Hunan	2021021116	26917.9289358383
Zhejiang	2021021116	61808.4219826762
East_Inner_Mongolia	2021021116	10786.7811699531
Henan	2021021116	56127.7505793863
Guizhou	2021021116	19226.6676993977
Guangxi	2021021116	23517.5702477926
Tianjin	2021021116	14856.342166031
Guangdong	2021021116	84195.8213427893
Liaoning	2021021116	39168.7994735857
Hubei	2021021116	30270.7065867803
Beijing	2021021116	14220.4732603938
Heilongjiang	2021021116	16457.9703176327
West_Inner_Mongolia	2021021116	28768.9210089585
Jiangsu	2021021116	84420.2549349793
Hebei	2021021116	66695.9548444382
Hainan	2021021116	4279.67419967977
Shaanxi	2021021116	19489.6002194175
Gansu	2021021116	17141.7597784773
Shanxi	2021021116	37994.5494355291
Ningxia	2021021116	12196.2420748626
Yunnan	2021021116	22325.1099137314
Anhui	2021021116	24626.0968563615
Qinghai	2021021116	9604.11835831283
Sichuan	2021021116	33883.7854924383
Shandong	2021021116	74700.1183903747
Shanghai	2021021116	26800.2010333816
Fujian	2021021116	30316.687038538
