ampl.tab 2 2
load_area	hour	system_load	present_day_system_load
OR_WA_BPA	2019121618	1917	1770
UT_N	2019121618	4948	4570
UT_S	2019121618	1223	1130
WA_ID_AVA	2019121618	2729	2520
WA_N_CEN	2019121618	1572	1452
WA_SEATAC	2019121618	6586	6082
WA_W	2019121618	4045	3736
WY_NE	2019121618	805	743
WY_NW	2019121618	265	245
WY_SE	2019121618	894	825
WY_SW	2019121618	249	230
AZ_APS_E	2019121622	181	167
AZ_APS_N	2019121622	548	506
AZ_APS_SW	2019121622	460	425
AZ_NM_N	2019121622	349	322
AZ_NW	2019121622	408	376
AZ_PHX	2019121622	4853	4481
AZ_SE	2019121622	2420	2235
CAN_ALB	2019121622	10021	9254
CAN_BC	2019121622	10126	9351
CA_IID	2019121622	370	341
CA_LADWP	2019121622	4089	3777
CA_PGE_BAY	2019121622	5790	5347
CA_PGE_CEN	2019121622	4261	3935
CA_PGE_N	2019121622	3917	3617
CA_PGE_S	2019121622	1497	1383
CA_SCE_CEN	2019121622	2356	2176
CA_SCE_S	2019121622	12228	11293
CA_SCE_SE	2019121622	37	35
CA_SCE_VLY	2019121622	494	456
CA_SDGE	2019121622	2880	2659
CA_SMUD	2019121622	2103	1942
CO_DEN	2019121622	5542	5118
CO_E	2019121622	3035	2803
CO_NW	2019121622	979	904
CO_SW	2019121622	934	863
ID_E	2019121622	1307	1207
ID_S_OR_E	2019121622	2733	2524
MEX_BAJA	2019121622	1214	1121
MT_NE	2019121622	407	376
MT_NW	2019121622	686	633
MT_SE	2019121622	409	378
MT_SW	2019121622	612	566
NM_N	2019121622	1031	952
NM_S_TX_EPE	2019121622	1053	972
NV_N	2019121622	1507	1392
NV_S	2019121622	2618	2418
OR_E	2019121622	703	649
OR_PDX	2019121622	4324	3993
OR_W	2019121622	3981	3676
OR_WA_BPA	2019121622	1735	1603
UT_N	2019121622	4773	4408
UT_S	2019121622	1157	1068
WA_ID_AVA	2019121622	2596	2397
WA_N_CEN	2019121622	1476	1363
WA_SEATAC	2019121622	5837	5391
WA_W	2019121622	3569	3296
WY_NE	2019121622	781	721
WY_NW	2019121622	257	237
WY_SE	2019121622	867	801
WY_SW	2019121622	240	222
AZ_APS_E	2020121400	196	181
AZ_APS_N	2020121400	606	560
AZ_APS_SW	2020121400	517	478
AZ_NM_N	2020121400	407	375
AZ_NW	2020121400	532	491
AZ_PHX	2020121400	5248	4847
AZ_SE	2020121400	2850	2632
CAN_ALB	2020121400	10563	9754
CAN_BC	2020121400	10836	10007
CA_IID	2020121400	363	335
CA_LADWP	2020121400	4454	4113
CA_PGE_BAY	2020121400	6245	5767
CA_PGE_CEN	2020121400	4358	4025
CA_PGE_N	2020121400	4022	3714
CA_PGE_S	2020121400	1537	1419
CA_SCE_CEN	2020121400	2484	2294
CA_SCE_S	2020121400	12902	11915
CA_SCE_SE	2020121400	39	36
CA_SCE_VLY	2020121400	520	481
CA_SDGE	2020121400	3452	3188
CA_SMUD	2020121400	2055	1898
CO_DEN	2020121400	6143	5673
CO_E	2020121400	3386	3127
CO_NW	2020121400	1090	1007
CO_SW	2020121400	1042	962
ID_E	2020121400	1271	1174
ID_S_OR_E	2020121400	2541	2346
MEX_BAJA	2020121400	1312	1212
MT_NE	2020121400	425	392
MT_NW	2020121400	713	659
MT_SE	2020121400	426	394
MT_SW	2020121400	636	588
NM_N	2020121400	1188	1097
NM_S_TX_EPE	2020121400	1286	1187
NV_N	2020121400	1545	1426
NV_S	2020121400	2711	2504
OR_E	2020121400	678	626
OR_PDX	2020121400	4212	3890
OR_W	2020121400	3824	3531
OR_WA_BPA	2020121400	1654	1528
UT_N	2020121400	5146	4752
UT_S	2020121400	1342	1239
WA_ID_AVA	2020121400	2415	2230
WA_N_CEN	2020121400	1074	992
WA_SEATAC	2020121400	5824	5378
WA_W	2020121400	3476	3210
WY_NE	2020121400	861	795
WY_NW	2020121400	274	253
WY_SE	2020121400	950	877
WY_SW	2020121400	248	229
AZ_APS_E	2020121404	201	186
AZ_APS_N	2020121404	620	573
AZ_APS_SW	2020121404	531	491
AZ_NM_N	2020121404	407	375
AZ_NW	2020121404	550	508
AZ_PHX	2020121404	5374	4963
AZ_SE	2020121404	2845	2627
CAN_ALB	2020121404	9904	9146
CAN_BC	2020121404	10578	9768
CA_IID	2020121404	403	372
CA_LADWP	2020121404	4550	4202
CA_PGE_BAY	2020121404	6372	5884
CA_PGE_CEN	2020121404	4624	4270
CA_PGE_N	2020121404	4267	3940
CA_PGE_S	2020121404	1631	1507
CA_SCE_CEN	2020121404	2677	2472
CA_SCE_S	2020121404	13885	12823
CA_SCE_SE	2020121404	43	39
CA_SCE_VLY	2020121404	561	518
CA_SDGE	2020121404	3351	3095
CA_SMUD	2020121404	2206	2037
CO_DEN	2020121404	5549	5125
CO_E	2020121404	3159	2918
CO_NW	2020121404	1004	927
CO_SW	2020121404	970	896
ID_E	2020121404	1128	1042
ID_S_OR_E	2020121404	2238	2067
MEX_BAJA	2020121404	1466	1354
MT_NE	2020121404	388	359
MT_NW	2020121404	653	603
MT_SE	2020121404	389	359
MT_SW	2020121404	581	537
NM_N	2020121404	1156	1068
NM_S_TX_EPE	2020121404	1293	1194
NV_N	2020121404	1624	1500
NV_S	2020121404	2959	2733
OR_E	2020121404	678	626
OR_PDX	2020121404	4272	3945
OR_W	2020121404	3856	3561
OR_WA_BPA	2020121404	1665	1538
UT_N	2020121404	4614	4261
UT_S	2020121404	1247	1151
WA_ID_AVA	2020121404	2345	2166
WA_N_CEN	2020121404	1047	967
WA_SEATAC	2020121404	5806	5362
WA_W	2020121404	3505	3236
WY_NE	2020121404	802	741
WY_NW	2020121404	251	232
WY_SE	2020121404	882	814
WY_SW	2020121404	222	205
AZ_APS_E	2020121408	150	138
AZ_APS_N	2020121408	471	435
AZ_APS_SW	2020121408	408	377
AZ_NM_N	2020121408	308	285
AZ_NW	2020121408	469	433
AZ_PHX	2020121408	3948	3646
AZ_SE	2020121408	2267	2093
CAN_ALB	2020121408	8345	7707
CAN_BC	2020121408	7930	7323
CA_IID	2020121408	294	272
CA_LADWP	2020121408	3295	3043
CA_PGE_BAY	2020121408	4124	3809
CA_PGE_CEN	2020121408	3218	2972
CA_PGE_N	2020121408	2994	2765
CA_PGE_S	2020121408	1141	1053
CA_SCE_CEN	2020121408	1831	1690
CA_SCE_S	2020121408	9507	8779
CA_SCE_SE	2020121408	29	27
CA_SCE_VLY	2020121408	383	354
CA_SDGE	2020121408	2086	1926
CA_SMUD	2020121408	1487	1373
CO_DEN	2020121408	4032	3723
CO_E	2020121408	2558	2363
CO_NW	2020121408	780	720
CO_SW	2020121408	779	719
ID_E	2020121408	878	811
ID_S_OR_E	2020121408	1796	1659
MEX_BAJA	2020121408	1114	1029
MT_NE	2020121408	300	277
MT_NW	2020121408	503	465
MT_SE	2020121408	300	277
MT_SW	2020121408	448	414
NM_N	2020121408	833	769
NM_S_TX_EPE	2020121408	907	838
NV_N	2020121408	1293	1194
NV_S	2020121408	2352	2172
OR_E	2020121408	506	468
OR_PDX	2020121408	2953	2727
OR_W	2020121408	2800	2586
OR_WA_BPA	2020121408	1229	1135
UT_N	2020121408	3575	3301
UT_S	2020121408	968	893
WA_ID_AVA	2020121408	1726	1593
WA_N_CEN	2020121408	862	796
WA_SEATAC	2020121408	3989	3684
WA_W	2020121408	2356	2176
WY_NE	2020121408	657	607
WY_NW	2020121408	203	187
WY_SE	2020121408	721	666
WY_SW	2020121408	174	161
AZ_APS_E	2020121412	175	161
AZ_APS_N	2020121412	546	504
AZ_APS_SW	2020121412	471	435
AZ_NM_N	2020121412	343	317
AZ_NW	2020121412	522	482
AZ_PHX	2020121412	4654	4298
AZ_SE	2020121412	2545	2350
CAN_ALB	2020121412	8398	7755
CAN_BC	2020121412	7424	6856
CA_IID	2020121412	259	239
CA_LADWP	2020121412	3097	2860
CA_PGE_BAY	2020121412	4109	3795
CA_PGE_CEN	2020121412	3217	2971
CA_PGE_N	2020121412	3005	2775
CA_PGE_S	2020121412	1145	1057
CA_SCE_CEN	2020121412	1758	1623
CA_SCE_S	2020121412	9124	8425
CA_SCE_SE	2020121412	28	26
CA_SCE_VLY	2020121412	368	340
CA_SDGE	2020121412	2162	1996
CA_SMUD	2020121412	1443	1333
CO_DEN	2020121412	4472	4130
CO_E	2020121412	2793	2579
CO_NW	2020121412	857	791
CO_SW	2020121412	851	786
ID_E	2020121412	1046	966
ID_S_OR_E	2020121412	2243	2071
MEX_BAJA	2020121412	1041	962
MT_NE	2020121412	320	295
MT_NW	2020121412	536	495
MT_SE	2020121412	322	297
MT_SW	2020121412	481	444
NM_N	2020121412	907	838
NM_S_TX_EPE	2020121412	993	917
NV_N	2020121412	1304	1204
NV_S	2020121412	2361	2181
OR_E	2020121412	521	481
OR_PDX	2020121412	2925	2702
OR_W	2020121412	2838	2620
OR_WA_BPA	2020121412	1254	1158
UT_N	2020121412	4144	3827
UT_S	2020121412	1095	1011
WA_ID_AVA	2020121412	1721	1589
WA_N_CEN	2020121412	928	857
WA_SEATAC	2020121412	3870	3573
WA_W	2020121412	2340	2161
WY_NE	2020121412	722	667
WY_NW	2020121412	228	210
WY_SE	2020121412	795	734
WY_SW	2020121412	202	187
AZ_APS_E	2020121416	188	174
AZ_APS_N	2020121416	585	540
AZ_APS_SW	2020121416	501	463
AZ_NM_N	2020121416	380	351
AZ_NW	2020121416	531	490
AZ_PHX	2020121416	5012	4629
AZ_SE	2020121416	2738	2529
CAN_ALB	2020121416	9758	9012
CAN_BC	2020121416	9840	9087
CA_IID	2020121416	349	322
CA_LADWP	2020121416	4202	3881
CA_PGE_BAY	2020121416	5884	5434
CA_PGE_CEN	2020121416	4246	3921
CA_PGE_N	2020121416	3926	3625
CA_PGE_S	2020121416	1499	1385
CA_SCE_CEN	2020121416	2393	2210
CA_SCE_S	2020121416	12420	11469
CA_SCE_SE	2020121416	38	35
CA_SCE_VLY	2020121416	501	463
CA_SDGE	2020121416	2999	2770
CA_SMUD	2020121416	2002	1849
CO_DEN	2020121416	5224	4824
CO_E	2020121416	3041	2808
CO_NW	2020121416	959	885
CO_SW	2020121416	932	860
ID_E	2020121416	1163	1074
ID_S_OR_E	2020121416	2367	2186
MEX_BAJA	2020121416	1255	1159
MT_NE	2020121416	385	356
MT_NW	2020121416	647	598
MT_SE	2020121416	387	357
MT_SW	2020121416	577	533
NM_N	2020121416	1063	982
NM_S_TX_EPE	2020121416	1187	1096
NV_N	2020121416	1546	1428
NV_S	2020121416	2547	2353
OR_E	2020121416	666	615
OR_PDX	2020121416	4046	3737
OR_W	2020121416	3745	3458
OR_WA_BPA	2020121416	1631	1506
UT_N	2020121416	4721	4359
UT_S	2020121416	1250	1154
WA_ID_AVA	2020121416	2235	2064
WA_N_CEN	2020121416	1138	1051
WA_SEATAC	2020121416	5531	5108
WA_W	2020121416	3306	3053
WY_NE	2020121416	781	721
WY_NW	2020121416	250	231
WY_SE	2020121416	863	797
WY_SW	2020121416	228	210
AZ_APS_E	2020121420	178	164
AZ_APS_N	2020121420	553	511
AZ_APS_SW	2020121420	475	439
AZ_NM_N	2020121420	362	334
AZ_NW	2020121420	512	473
AZ_PHX	2020121420	4731	4369
AZ_SE	2020121420	2650	2447
CAN_ALB	2020121420	9601	8866
CAN_BC	2020121420	9426	8705
CA_IID	2020121420	366	338
CA_LADWP	2020121420	4541	4194
CA_PGE_BAY	2020121420	5770	5329
CA_PGE_CEN	2020121420	4007	3701
CA_PGE_N	2020121420	3668	3388
CA_PGE_S	2020121420	1400	1293
CA_SCE_CEN	2020121420	2525	2332
CA_SCE_S	2020121420	13116	12113
CA_SCE_SE	2020121420	40	37
CA_SCE_VLY	2020121420	529	488
CA_SDGE	2020121420	3099	2862
CA_SMUD	2020121420	1999	1846
CO_DEN	2020121420	5110	4719
CO_E	2020121420	2859	2640
CO_NW	2020121420	915	845
CO_SW	2020121420	879	812
ID_E	2020121420	1073	991
ID_S_OR_E	2020121420	2162	1996
MEX_BAJA	2020121420	1269	1172
MT_NE	2020121420	361	334
MT_NW	2020121420	607	561
MT_SE	2020121420	363	335
MT_SW	2020121420	540	499
NM_N	2020121420	1013	935
NM_S_TX_EPE	2020121420	1137	1050
NV_N	2020121420	1465	1353
NV_S	2020121420	2509	2317
OR_E	2020121420	616	568
OR_PDX	2020121420	3773	3485
OR_W	2020121420	3458	3194
OR_WA_BPA	2020121420	1501	1386
UT_N	2020121420	4435	4095
UT_S	2020121420	1168	1079
WA_ID_AVA	2020121420	2162	1996
WA_N_CEN	2020121420	1011	934
WA_SEATAC	2020121420	5258	4855
WA_W	2020121420	3082	2847
WY_NE	2020121420	730	674
WY_NW	2020121420	234	216
WY_SE	2020121420	807	745
WY_SW	2020121420	214	197
AZ_APS_E	2029121501	251	210
AZ_APS_N	2029121501	757	633
AZ_APS_SW	2029121501	635	531
AZ_NM_N	2029121501	478	400
AZ_NW	2029121501	540	451
AZ_PHX	2029121501	6717	5616
AZ_SE	2029121501	3249	2716
CAN_ALB	2029121501	11580	9681
CAN_BC	2029121501	12878	10766
CA_IID	2029121501	424	355
CA_LADWP	2029121501	5127	4286
CA_PGE_BAY	2029121501	7554	6315
CA_PGE_CEN	2029121501	5268	4404
CA_PGE_N	2029121501	4812	4023
CA_PGE_S	2029121501	1837	1535
CA_SCE_CEN	2029121501	3095	2587
CA_SCE_S	2029121501	16042	13411
CA_SCE_SE	2029121501	49	41
CA_SCE_VLY	2029121501	649	542
CA_SDGE	2029121501	4102	3429
CA_SMUD	2029121501	2588	2164
CO_DEN	2029121501	7111	5945
CO_E	2029121501	3798	3175
CO_NW	2029121501	1238	1035
CO_SW	2029121501	1172	980
ID_E	2029121501	1648	1378
ID_S_OR_E	2029121501	3414	2854
MEX_BAJA	2029121501	1691	1414
MT_NE	2029121501	493	412
MT_NW	2029121501	832	696
MT_SE	2029121501	497	415
MT_SW	2029121501	745	623
NM_N	2029121501	1423	1189
NM_S_TX_EPE	2029121501	1471	1230
NV_N	2029121501	1922	1607
NV_S	2029121501	3612	3020
OR_E	2029121501	898	750
OR_PDX	2029121501	5551	4641
OR_W	2029121501	5094	4259
OR_WA_BPA	2029121501	2216	1853
UT_N	2029121501	6037	5047
UT_S	2029121501	1493	1248
WA_ID_AVA	2029121501	3158	2640
WA_N_CEN	2029121501	1779	1487
WA_SEATAC	2029121501	7534	6298
WA_W	2029121501	4681	3913
WY_NE	2029121501	974	814
WY_NW	2029121501	321	269
WY_SE	2029121501	1083	905
WY_SW	2029121501	304	254
AZ_APS_E	2029121505	222	186
AZ_APS_N	2029121505	670	561
AZ_APS_SW	2029121505	564	471
AZ_NM_N	2029121505	417	349
AZ_NW	2029121505	485	406
AZ_PHX	2029121505	5980	4999
AZ_SE	2029121505	2840	2374
CAN_ALB	2029121505	10591	8854
CAN_BC	2029121505	11883	9935
CA_IID	2029121505	456	381
CA_LADWP	2029121505	4592	3839
CA_PGE_BAY	2029121505	6534	5463
CA_PGE_CEN	2029121505	4712	3940
CA_PGE_N	2029121505	4296	3591
CA_PGE_S	2029121505	1638	1369
CA_SCE_CEN	2029121505	2823	2360
CA_SCE_S	2029121505	14625	12227
CA_SCE_SE	2029121505	45	38
CA_SCE_VLY	2029121505	591	494
CA_SDGE	2029121505	3341	2793
CA_SMUD	2029121505	2359	1973
CO_DEN	2029121505	5760	4816
CO_E	2029121505	3272	2735
CO_NW	2029121505	1040	870
CO_SW	2029121505	1004	840
ID_E	2029121505	1395	1166
ID_S_OR_E	2029121505	2992	2501
MEX_BAJA	2029121505	1564	1308
MT_NE	2029121505	427	357
MT_NW	2029121505	721	603
MT_SE	2029121505	429	359
MT_SW	2029121505	644	539
NM_N	2029121505	1219	1019
NM_S_TX_EPE	2029121505	1236	1033
NV_N	2029121505	1780	1488
NV_S	2029121505	3476	2906
OR_E	2029121505	820	686
OR_PDX	2029121505	5143	4299
OR_W	2029121505	4676	3910
OR_WA_BPA	2029121505	2027	1695
UT_N	2029121505	5003	4183
UT_S	2029121505	1273	1064
WA_ID_AVA	2029121505	2839	2374
WA_N_CEN	2029121505	1635	1367
WA_SEATAC	2029121505	6965	5823
WA_W	2029121505	4308	3602
WY_NE	2029121505	842	704
WY_NW	2029121505	273	228
WY_SE	2029121505	933	780
WY_SW	2029121505	252	211
AZ_APS_E	2029121509	193	161
AZ_APS_N	2029121509	592	495
AZ_APS_SW	2029121509	504	422
AZ_NM_N	2029121509	366	306
AZ_NW	2029121509	497	416
AZ_PHX	2029121509	5135	4293
AZ_SE	2029121509	2590	2165
CAN_ALB	2029121509	9479	7924
CAN_BC	2029121509	9358	7823
CA_IID	2029121509	306	256
CA_LADWP	2029121509	3347	2798
CA_PGE_BAY	2029121509	4681	3914
CA_PGE_CEN	2029121509	3839	3210
CA_PGE_N	2029121509	3583	2995
CA_PGE_S	2029121509	1368	1144
CA_SCE_CEN	2029121509	1990	1664
CA_SCE_S	2029121509	10316	8624
CA_SCE_SE	2029121509	32	26
CA_SCE_VLY	2029121509	417	349
CA_SDGE	2029121509	2246	1878
CA_SMUD	2029121509	1702	1423
CO_DEN	2029121509	4829	4038
CO_E	2029121509	2897	2422
CO_NW	2029121509	902	754
CO_SW	2029121509	885	740
ID_E	2029121509	1258	1052
ID_S_OR_E	2029121509	2677	2238
MEX_BAJA	2029121509	1188	994
MT_NE	2029121509	375	314
MT_NW	2029121509	632	528
MT_SE	2029121509	378	316
MT_SW	2029121509	567	474
NM_N	2029121509	1004	839
NM_S_TX_EPE	2029121509	986	825
NV_N	2029121509	1470	1229
NV_S	2029121509	2871	2400
OR_E	2029121509	676	566
OR_PDX	2029121509	3936	3291
OR_W	2029121509	3775	3156
OR_WA_BPA	2029121509	1667	1394
UT_N	2029121509	4472	3739
UT_S	2029121509	1136	950
WA_ID_AVA	2029121509	2309	1931
WA_N_CEN	2029121509	1466	1226
WA_SEATAC	2029121509	5325	4452
WA_W	2029121509	3280	2742
WY_NE	2029121509	754	630
WY_NW	2029121509	245	205
WY_SE	2029121509	835	698
WY_SW	2029121509	227	190
AZ_APS_E	2029121513	252	210
