ampl.tab 4 1
project_id	load_area	technology	hour	cap_factor
1157628448	CA_SCE_CEN	Wind_EP	351220518	0.851892
1157628448	CA_SCE_CEN	Wind_EP	451200517	0
1157628448	CA_SCE_CEN	Wind_EP	451200521	0.121551
1157628448	CA_SCE_CEN	Wind_EP	451204517	0
1157628448	CA_SCE_CEN	Wind_EP	451204521	0.0734795
1157628448	CA_SCE_CEN	Wind_EP	451208517	0
1157628448	CA_SCE_CEN	Wind_EP	451208521	0
1157628448	CA_SCE_CEN	Wind_EP	451212517	0.0162938
1157628448	CA_SCE_CEN	Wind_EP	451212521	0.124177
1157628448	CA_SCE_CEN	Wind_EP	451216517	0.198287
1157628448	CA_SCE_CEN	Wind_EP	451216521	0
1157628448	CA_SCE_CEN	Wind_EP	451220517	0.0542206
1157628448	CA_SCE_CEN	Wind_EP	451220521	0.0939036
1157628449	CA_SCE_CEN	Wind_EP	151200408	0.409838
1157628449	CA_SCE_CEN	Wind_EP	151200516	0.499423
1157628449	CA_SCE_CEN	Wind_EP	151204408	0.34292
1157628449	CA_SCE_CEN	Wind_EP	151204516	0.106978
1157628449	CA_SCE_CEN	Wind_EP	151208408	0.253244
1157628449	CA_SCE_CEN	Wind_EP	151208516	0.0593566
1157628449	CA_SCE_CEN	Wind_EP	151212408	1
1157628449	CA_SCE_CEN	Wind_EP	151212516	0.0218649
1157628449	CA_SCE_CEN	Wind_EP	151216408	0.84723
1157628449	CA_SCE_CEN	Wind_EP	151216516	0.00669958
1157628449	CA_SCE_CEN	Wind_EP	151220408	0.124318
1157628449	CA_SCE_CEN	Wind_EP	151220516	0
1157628449	CA_SCE_CEN	Wind_EP	251200501	1
1157628449	CA_SCE_CEN	Wind_EP	251200515	0.0295176
1157628449	CA_SCE_CEN	Wind_EP	251204501	1
1157628449	CA_SCE_CEN	Wind_EP	251204515	0.124387
1157628449	CA_SCE_CEN	Wind_EP	251208501	0.56027
1157628449	CA_SCE_CEN	Wind_EP	251208515	0.0226252
1157628449	CA_SCE_CEN	Wind_EP	251212501	0.589345
1157628449	CA_SCE_CEN	Wind_EP	251212515	0.65158
1157628449	CA_SCE_CEN	Wind_EP	251216501	0.792077
1157628449	CA_SCE_CEN	Wind_EP	251216515	0.365564
1157628449	CA_SCE_CEN	Wind_EP	251220501	0.764454
1157628449	CA_SCE_CEN	Wind_EP	251220515	0.492615
1157628449	CA_SCE_CEN	Wind_EP	351200508	0.0336267
1157628449	CA_SCE_CEN	Wind_EP	351200518	0.199521
1157628449	CA_SCE_CEN	Wind_EP	351204508	0.150268
1157628449	CA_SCE_CEN	Wind_EP	351204518	0.367863
1157628449	CA_SCE_CEN	Wind_EP	351208508	0.166978
1157628449	CA_SCE_CEN	Wind_EP	351208518	0.187493
1157628449	CA_SCE_CEN	Wind_EP	351212508	0.242117
1157628449	CA_SCE_CEN	Wind_EP	351212518	0.711839
1157628449	CA_SCE_CEN	Wind_EP	351216508	0.0599756
1157628449	CA_SCE_CEN	Wind_EP	351216518	0
1157628449	CA_SCE_CEN	Wind_EP	351220508	0.109584
