ampl.tab 2 1
load_area	rps_compliance_year	rps_compliance_fraction
WA_N_CEN	2031	0.15
WA_SEATAC	2031	0.148616
WA_W	2031	0.15
WY_NE	2031	0.063678
CAN_ALB	2031	0
CAN_BC	2031	0
MEX_BAJA	2031	0
WY_NW	2031	0
WY_SE	2031	0
WY_SW	2031	0
AZ_APS_E	2032	0.15
AZ_APS_N	2032	0.15
AZ_APS_SW	2032	0.15
AZ_NM_N	2032	0.185171
AZ_NW	2032	0.150013
AZ_PHX	2032	0.15
AZ_SE	2032	0.15
CA_IID	2032	0.33
CA_LADWP	2032	0.33
CA_PGE_BAY	2032	0.33
CA_PGE_CEN	2032	0.33
CA_PGE_N	2032	0.33
CA_PGE_S	2032	0.33
CA_SCE_CEN	2032	0.33
CA_SCE_S	2032	0.33
CA_SCE_SE	2032	0.329858
CA_SCE_VLY	2032	0.33
CA_SDGE	2032	0.33
CA_SMUD	2032	0.33
CO_DEN	2032	0.3
CO_E	2032	0.3
CO_NW	2032	0.3
CO_SW	2032	0.3
ID_E	2032	0.000436218
ID_S_OR_E	2032	0.0235421
MT_NE	2032	0.15
MT_NW	2032	0.15
MT_SE	2032	0.149301
MT_SW	2032	0.14539
NM_N	2032	0.2
NM_S_TX_EPE	2032	0.11147
NV_N	2032	0.252446
NV_S	2032	0.250099
OR_E	2032	0.255578
OR_PDX	2032	0.231989
OR_W	2032	0.253643
OR_WA_BPA	2032	0.169875
UT_N	2032	0.2
UT_S	2032	0.200496
WA_ID_AVA	2032	0.097718
WA_N_CEN	2032	0.15
WA_SEATAC	2032	0.148616
WA_W	2032	0.15
WY_NE	2032	0.063678
CAN_ALB	2032	0
CAN_BC	2032	0
MEX_BAJA	2032	0
WY_NW	2032	0
WY_SE	2032	0
WY_SW	2032	0
AZ_APS_E	2033	0.15
AZ_APS_N	2033	0.15
AZ_APS_SW	2033	0.15
AZ_NM_N	2033	0.185171
AZ_NW	2033	0.150013
AZ_PHX	2033	0.15
AZ_SE	2033	0.15
CA_IID	2033	0.33
CA_LADWP	2033	0.33
CA_PGE_BAY	2033	0.33
CA_PGE_CEN	2033	0.33
CA_PGE_N	2033	0.33
CA_PGE_S	2033	0.33
CA_SCE_CEN	2033	0.33
CA_SCE_S	2033	0.33
CA_SCE_SE	2033	0.329858
CA_SCE_VLY	2033	0.33
CA_SDGE	2033	0.33
CA_SMUD	2033	0.33
CO_DEN	2033	0.3
CO_E	2033	0.3
CO_NW	2033	0.3
CO_SW	2033	0.3
ID_E	2033	0.000436218
