ampl.tab 4 1
project_id	la_id	technology	date	average_output_cf
108	S18	Hydro_NonPumped_New	20200421	0.414
105	1	Hydro_NonPumped_New	20200403	0.498
105	1	Hydro_NonPumped_New	20200421	0.498
97	1	Hydro_NonPumped_New	20200403	0.306
97	1	Hydro_NonPumped_New	20200421	0.306
103	1	Hydro_NonPumped_New	20200403	0.719
103	1	Hydro_NonPumped_New	20200421	0.719
100	1	Hydro_NonPumped_New	20200403	0.389
100	1	Hydro_NonPumped_New	20200421	0.389
102	1	Hydro_NonPumped_New	20200403	0.808
102	1	Hydro_NonPumped_New	20200421	0.808
104	1	Hydro_NonPumped_New	20200403	0.808
104	1	Hydro_NonPumped_New	20200421	0.808
99	1	Hydro_NonPumped_New	20200403	0.808
99	1	Hydro_NonPumped_New	20200421	0.808
109	S18	Hydro_NonPumped_New	20200403	0.279
109	S18	Hydro_NonPumped_New	20200421	0.279
107	S18	Hydro_NonPumped_New	20200403	0.399
107	S18	Hydro_NonPumped_New	20200421	0.399
98	1	Hydro_NonPumped_New	20200403	0.850
98	1	Hydro_NonPumped_New	20200421	0.850
106	S1	Hydro_NonPumped_New	20200403	0.020
106	S1	Hydro_NonPumped_New	20200421	0.020
98	1	Hydro_NonPumped_New	20200515	0.851
98	1	Hydro_NonPumped_New	20200520	0.851
108	S18	Hydro_NonPumped_New	20200515	0.503
108	S18	Hydro_NonPumped_New	20200520	0.503
97	1	Hydro_NonPumped_New	20200515	0.550
97	1	Hydro_NonPumped_New	20200520	0.550
107	S18	Hydro_NonPumped_New	20200515	0.484
107	S18	Hydro_NonPumped_New	20200520	0.484
100	1	Hydro_NonPumped_New	20200515	0.405
100	1	Hydro_NonPumped_New	20200520	0.405
106	S1	Hydro_NonPumped_New	20200515	0.044
106	S1	Hydro_NonPumped_New	20200520	0.044
101	1	Hydro_NonPumped_New	20200515	0.490
101	1	Hydro_NonPumped_New	20200520	0.490
103	1	Hydro_NonPumped_New	20200515	0.673
103	1	Hydro_NonPumped_New	20200520	0.673
105	1	Hydro_NonPumped_New	20200515	0.490
105	1	Hydro_NonPumped_New	20200520	0.490
109	S18	Hydro_NonPumped_New	20200515	0.312
109	S18	Hydro_NonPumped_New	20200520	0.312
104	1	Hydro_NonPumped_New	20200515	0.847
104	1	Hydro_NonPumped_New	20200520	0.847
99	1	Hydro_NonPumped_New	20200515	0.847
99	1	Hydro_NonPumped_New	20200520	0.847
102	1	Hydro_NonPumped_New	20200515	0.847
102	1	Hydro_NonPumped_New	20200520	0.847
107	S18	Hydro_NonPumped_New	20200630	0.735
107	S18	Hydro_NonPumped_New	20200614	0.735
109	S18	Hydro_NonPumped_New	20200630	0.478
109	S18	Hydro_NonPumped_New	20200614	0.478
98	1	Hydro_NonPumped_New	20200630	0.829
98	1	Hydro_NonPumped_New	20200614	0.829
104	1	Hydro_NonPumped_New	20200630	0.731
104	1	Hydro_NonPumped_New	20200614	0.731
97	1	Hydro_NonPumped_New	20200630	0.531
97	1	Hydro_NonPumped_New	20200614	0.531
106	S1	Hydro_NonPumped_New	20200630	0.573
106	S1	Hydro_NonPumped_New	20200614	0.573
102	1	Hydro_NonPumped_New	20200630	0.731
102	1	Hydro_NonPumped_New	20200614	0.731
99	1	Hydro_NonPumped_New	20200630	0.731
99	1	Hydro_NonPumped_New	20200614	0.731
108	S18	Hydro_NonPumped_New	20200630	0.753
108	S18	Hydro_NonPumped_New	20200614	0.753
100	1	Hydro_NonPumped_New	20200630	0.497
100	1	Hydro_NonPumped_New	20200614	0.497
105	1	Hydro_NonPumped_New	20200630	0.367
105	1	Hydro_NonPumped_New	20200614	0.367
103	1	Hydro_NonPumped_New	20200630	0.593
103	1	Hydro_NonPumped_New	20200614	0.593
101	1	Hydro_NonPumped_New	20200630	0.367
101	1	Hydro_NonPumped_New	20200614	0.367
99	1	Hydro_NonPumped_New	20200710	0.606
99	1	Hydro_NonPumped_New	20200711	0.606
105	1	Hydro_NonPumped_New	20200710	0.428
105	1	Hydro_NonPumped_New	20200711	0.428
107	S18	Hydro_NonPumped_New	20200710	0.856
107	S18	Hydro_NonPumped_New	20200711	0.856
101	1	Hydro_NonPumped_New	20200710	0.428
101	1	Hydro_NonPumped_New	20200711	0.428
102	1	Hydro_NonPumped_New	20200710	0.606
102	1	Hydro_NonPumped_New	20200711	0.606
108	S18	Hydro_NonPumped_New	20200710	0.852
108	S18	Hydro_NonPumped_New	20200711	0.852
98	1	Hydro_NonPumped_New	20200710	0.810
98	1	Hydro_NonPumped_New	20200711	0.810
104	1	Hydro_NonPumped_New	20200710	0.606
104	1	Hydro_NonPumped_New	20200711	0.606
100	1	Hydro_NonPumped_New	20200710	0.436
100	1	Hydro_NonPumped_New	20200711	0.436
109	S18	Hydro_NonPumped_New	20200710	0.608
109	S18	Hydro_NonPumped_New	20200711	0.608
106	S1	Hydro_NonPumped_New	20200710	0.624
106	S1	Hydro_NonPumped_New	20200711	0.624
103	1	Hydro_NonPumped_New	20200710	0.746
103	1	Hydro_NonPumped_New	20200711	0.746
97	1	Hydro_NonPumped_New	20200710	0.548
97	1	Hydro_NonPumped_New	20200711	0.548
109	S18	Hydro_NonPumped_New	20200810	0.638
109	S18	Hydro_NonPumped_New	20200827	0.638
108	S18	Hydro_NonPumped_New	20200810	0.850
108	S18	Hydro_NonPumped_New	20200827	0.850
97	1	Hydro_NonPumped_New	20200810	0.317
97	1	Hydro_NonPumped_New	20200827	0.317
105	1	Hydro_NonPumped_New	20200810	0.391
105	1	Hydro_NonPumped_New	20200827	0.391
101	1	Hydro_NonPumped_New	20200810	0.391
101	1	Hydro_NonPumped_New	20200827	0.391
106	S1	Hydro_NonPumped_New	20200810	0.549
106	S1	Hydro_NonPumped_New	20200827	0.549
100	1	Hydro_NonPumped_New	20200810	0.377
100	1	Hydro_NonPumped_New	20200827	0.377
104	1	Hydro_NonPumped_New	20200810	0.469
104	1	Hydro_NonPumped_New	20200827	0.469
103	1	Hydro_NonPumped_New	20200810	0.696
103	1	Hydro_NonPumped_New	20200827	0.696
99	1	Hydro_NonPumped_New	20200810	0.469
99	1	Hydro_NonPumped_New	20200827	0.469
98	1	Hydro_NonPumped_New	20200810	0.648
98	1	Hydro_NonPumped_New	20200827	0.648
102	1	Hydro_NonPumped_New	20200810	0.469
102	1	Hydro_NonPumped_New	20200827	0.469
107	S18	Hydro_NonPumped_New	20200810	0.780
107	S18	Hydro_NonPumped_New	20200827	0.780
107	S18	Hydro_NonPumped_New	20200921	0.637
107	S18	Hydro_NonPumped_New	20200930	0.637
109	S18	Hydro_NonPumped_New	20200921	0.518
109	S18	Hydro_NonPumped_New	20200930	0.518
100	1	Hydro_NonPumped_New	20200921	0.317
100	1	Hydro_NonPumped_New	20200930	0.317
98	1	Hydro_NonPumped_New	20200921	0.646
98	1	Hydro_NonPumped_New	20200930	0.646
101	1	Hydro_NonPumped_New	20200921	0.449
101	1	Hydro_NonPumped_New	20200930	0.449
104	1	Hydro_NonPumped_New	20200921	0.401
