ampl.tab 2
location_id	load_area
4190	AZ_APS_SW
4155	AZ_APS_SW
7825	NM_N
7679	AZ_APS_E
4638	AZ_APS_SW
4540	AZ_APS_SW
4344	AZ_APS_SW
4366	AZ_APS_SW
4218	AZ_APS_SW
8158	NM_N
4283	AZ_APS_SW
4243	AZ_APS_SW
4381	AZ_APS_SW
3798	CA_SCE_SE
7065	AZ_APS_E
8915	NM_N
4584	AZ_APS_SW
4524	AZ_APS_SW
8927	NM_N
8903	NM_N
8418	NM_N
8028	NM_N
7885	NM_N
7951	NM_N
4401	AZ_APS_SW
4969	AZ_APS_N
9730	NM_N
9641	NM_N
7772	AZ_APS_E
7827	NM_N
9493	NM_N
3192	CA_SCE_S
8563	NM_N
3796	CA_SCE_SE
7438	AZ_APS_E
7352	AZ_APS_E
2396	CA_SCE_CEN
2765	CA_SCE_CEN
3103	CA_SCE_S
3264	CA_SCE_SE
3311	CA_SCE_SE
7477	AZ_APS_E
3365	CA_SCE_SE
6360	AZ_APS_E
7336	AZ_APS_E
2138	CA_SCE_CEN
3617	CA_SCE_SE
6386	AZ_APS_E
7705	NM_N
7627	AZ_APS_E
2277	CA_SCE_CEN
3418	CA_SCE_SE
6142	AZ_APS_E
2094	CA_SCE_CEN
3672	CA_SCE_SE
6334	AZ_APS_E
6277	AZ_APS_E
6278	AZ_APS_E
6113	AZ_APS_E
2167	CA_SCE_CEN
5144	AZ_APS_N
5176	AZ_APS_N
1896	CA_SCE_CEN
1866	CA_SCE_CEN
1865	CA_SCE_CEN
2252	CA_SCE_CEN
8685	NM_N
8662	NM_N
7495	NM_N
7439	NM_N
8258	NM_N
5072	AZ_APS_N
829	CA_PGE_S
6027	AZ_APS_E
6026	AZ_APS_E
7697	NM_N
3858	AZ_NW
5929	AZ_APS_N
7496	AZ_NM_N
2469	CA_SCE_CEN
2400	CA_SCE_CEN
2656	CA_SCE_CEN
2725	CA_SCE_CEN
2910	CA_SCE_CEN
7593	NM_N
7632	NM_N
4970	AZ_APS_N
5013	AZ_APS_N
4938	AZ_APS_N
4590	AZ_NW
8493	NM_N
8494	NM_N
1428	CA_PGE_S
2175	CA_SCE_CEN
2128	CA_SCE_CEN
1925	CA_SCE_CEN
1969	CA_SCE_CEN
7200	AZ_NM_N
7153	AZ_NM_N
2520	CA_SCE_CEN
9205	NM_N
9222	NM_N
9208	NM_N
9115	NM_N
8896	NM_N
8873	NM_N
8930	NM_N
8929	NM_N
8958	NM_N
9054	NM_N
9100	NM_N
9082	NM_N
9032	NM_N
8928	NM_N
8864	NM_N
8837	NM_N
4923	AZ_APS_N
4332	AZ_NW
9922	NM_N
4788	AZ_APS_N
7920	NM_N
3693	NV_S
3673	NV_S
3637	NV_S
2027	CA_SCE_CEN
2254	CA_SCE_CEN
7877	NM_N
6125	AZ_APS_E
7791	AZ_NM_N
7538	AZ_NM_N
7605	AZ_NM_N
4391	AZ_NW
4195	AZ_NW
4220	AZ_NW
5026	AZ_APS_N
6800	AZ_NM_N
7213	AZ_NM_N
3367	NV_S
6963	AZ_NM_N
6934	AZ_NM_N
1550	CA_PGE_S
1454	CA_PGE_S
8797	NM_N
4764	AZ_APS_N
4645	AZ_APS_N
6564	AZ_APS_E
6477	AZ_APS_E
4188	AZ_NW
8905	NM_N
4512	AZ_APS_N
6861	AZ_NM_N
7029	AZ_APS_E
6868	AZ_APS_E
6763	AZ_APS_E
6367	AZ_APS_E
6337	AZ_APS_E
6075	AZ_APS_N
8079	NM_N
5982	AZ_APS_N
6403	AZ_APS_E
7117	AZ_NM_N
9784	NM_N
9818	NM_N
4135	AZ_NW
4417	AZ_NW
5377	AZ_APS_N
6218	AZ_APS_E
9924	NM_N
9983	NM_N
9659	NM_N
10082	NM_N
2130	CA_SCE_CEN
2085	CA_SCE_CEN
7786	AZ_NM_N
6840	AZ_NM_N
6850	AZ_NM_N
6406	AZ_APS_E
7707	AZ_NM_N
5349	AZ_APS_N
