ampl.tab 3 8
project_id	load_area	technology	location_id	ep_project_replacement_id	capacity_limit	capacity_limit_conversion	heat_rate	cogen_thermal_demand	connect_cost_per_mw	average_capacity_factor_intermittent
1110056	AZ_APS_E	Central_PV	103344	0	51.70000076293945	33.41999816894531	0	0	92169	0.3040370047092438
1110057	AZ_APS_E	CSP_Trough_No_Storage	103344	0	51.70000076293945	43.63999938964844	0	0	92169	0.22711800038814545
1110881	AZ_APS_E	Central_PV	103217	0	53.439998626708984	34.369998931884766	0	0	61426.2	0.3027909994125366
1110882	AZ_APS_E	CSP_Trough_No_Storage	103217	0	53.439998626708984	43.93000030517578	0	0	61426.2	0.2264540046453476
1111718	AZ_APS_E	Central_PV	103493	0	1.4199999570846558	35.06999969482422	0	0	53642.6	0.30071601271629333
1111730	AZ_APS_E	Central_PV	103697	0	38.65999984741211	34.369998931884766	0	0	95115.8	0.30405399203300476
1111970	AZ_APS_E	Central_PV	103446	0	28.860000610351562	34.0099983215332	0	0	70038.8	0.3037849962711334
1111971	AZ_APS_E	CSP_Trough_No_Storage	103446	0	28.860000610351562	43.93000030517578	0	0	70038.8	0.23155200481414795
1111972	AZ_APS_E	CSP_Trough_6h_Storage	103446	0	28.860000610351562	30.809999465942383	0	0	70038.8	0.3711259961128235
1112666	AZ_APS_E	Central_PV	103214	0	58.689998626708984	34.47999954223633	0	0	70565.5	0.30258798599243164
1112723	AZ_APS_E	Central_PV	103170	0	26.100000381469727	34.25	0	0	64905.7	0.30577799677848816
1112724	AZ_APS_E	CSP_Trough_No_Storage	103170	0	26.100000381469727	43.93000030517578	0	0	64905.7	0.23223400115966797
1112725	AZ_APS_E	CSP_Trough_6h_Storage	103170	0	26.100000381469727	30.670000076293945	0	0	64905.7	0.37099701166152954
1112990	AZ_APS_E	Central_PV	103185	0	22.389999389648438	33.779998779296875	0	0	62369.5	0.306551992893219
1112991	AZ_APS_E	CSP_Trough_No_Storage	103185	0	22.389999389648438	43.63999938964844	0	0	62369.5	0.23463700711727142
1112992	AZ_APS_E	CSP_Trough_6h_Storage	103185	0	22.389999389648438	30.530000686645508	0	0	62369.5	0.37337398529052734
1113944	AZ_APS_E	Central_PV	103669	0	37.15999984741211	34.369998931884766	0	0	84273.6	0.30085501074790955
1114376	AZ_APS_E	Central_PV	103213	0	24.360000610351562	33.88999938964844	0	0	45241.1	0.30536800622940063
1114377	AZ_APS_E	CSP_Trough_No_Storage	103213	0	24.360000610351562	43.63999938964844	0	0	45241.1	0.23580700159072876
1114378	AZ_APS_E	CSP_Trough_6h_Storage	103213	0	24.360000610351562	30.530000686645508	0	0	45241.1	0.3753820061683655
1114841	AZ_APS_E	Central_PV	103278	0	44.02000045776367	34.0099983215332	0	0	44572.4	0.29809099435806274
1114842	AZ_APS_E	CSP_Trough_No_Storage	103278	0	44.02000045776367	43.63999938964844	0	0	44572.4	0.2291630059480667
