ampl.tab 3 1
load_area	period	breakpoint_id	price_dollars_per_mmbtu_surplus_adjusted
CA_SCE_SE	2035	5	4.2702
CA_SCE_SE	2035	6	999999999
CA_SCE_SE	2045	1	1.3378
CA_SCE_SE	2045	2	2.1264
CA_SCE_SE	2045	3	3.8461
CA_SCE_SE	2045	4	3.9383
CA_SCE_SE	2045	5	4.2702
CA_SCE_SE	2045	6	999999999
CA_SCE_VLY	2015	1	1.3359
CA_SCE_VLY	2015	2	1.6411
CA_SCE_VLY	2015	3	2.0005
CA_SCE_VLY	2015	4	2.7273
CA_SCE_VLY	2015	5	4.1942
CA_SCE_VLY	2015	6	4.3356
CA_SCE_VLY	2015	7	7.2594
CA_SCE_VLY	2015	8	8.0754
CA_SCE_VLY	2015	9	9.5093
CA_SCE_VLY	2015	10	10.1788
CA_SCE_VLY	2015	11	999999999
CA_SCE_VLY	2025	1	1.3359
CA_SCE_VLY	2025	2	1.6411
CA_SCE_VLY	2025	3	1.9529
CA_SCE_VLY	2025	4	2.0028
CA_SCE_VLY	2025	5	2.6567
CA_SCE_VLY	2025	6	3.3279
CA_SCE_VLY	2025	7	3.8562
CA_SCE_VLY	2025	8	7.5213
CA_SCE_VLY	2025	9	8.9901
CA_SCE_VLY	2025	10	10.4689
CA_SCE_VLY	2025	11	11.1388
CA_SCE_VLY	2025	12	999999999
CA_SCE_VLY	2035	1	1.3359
CA_SCE_VLY	2035	2	1.6411
CA_SCE_VLY	2035	3	1.9529
CA_SCE_VLY	2035	4	2.0028
CA_SCE_VLY	2035	5	2.6567
CA_SCE_VLY	2035	6	3.3279
CA_SCE_VLY	2035	7	3.8562
CA_SCE_VLY	2035	8	7.5213
CA_SCE_VLY	2035	9	8.9901
CA_SCE_VLY	2035	10	10.4689
CA_SCE_VLY	2035	11	11.1388
CA_SCE_VLY	2035	12	999999999
CA_SCE_VLY	2045	1	1.3359
CA_SCE_VLY	2045	2	1.6411
CA_SCE_VLY	2045	3	1.9529
CA_SCE_VLY	2045	4	2.0028
CA_SCE_VLY	2045	5	2.6567
CA_SCE_VLY	2045	6	3.3279
CA_SCE_VLY	2045	7	3.8562
CA_SCE_VLY	2045	8	7.5213
CA_SCE_VLY	2045	9	8.9901
CA_SCE_VLY	2045	10	10.4689
CA_SCE_VLY	2045	11	11.1388
CA_SCE_VLY	2045	12	999999999
CA_SDGE	2015	1	1.7292
CA_SDGE	2015	2	22.4308
CA_SDGE	2015	3	999999999
CA_SDGE	2025	1	1.7292
CA_SDGE	2025	2	22.4308
CA_SDGE	2025	3	999999999
CA_SDGE	2035	1	1.7292
CA_SDGE	2035	2	22.4308
CA_SDGE	2035	3	999999999
CA_SDGE	2045	1	1.7292
CA_SDGE	2045	2	22.4308
CA_SDGE	2045	3	999999999
CA_SMUD	2015	1	1.3359
CA_SMUD	2015	2	1.6556
CA_SMUD	2015	3	2.0366
CA_SMUD	2015	4	2.6234
CA_SMUD	2015	5	2.658
CA_SMUD	2015	6	4.3437
CA_SMUD	2015	7	6.8389
CA_SMUD	2015	8	6.9369
CA_SMUD	2015	9	7.5708
CA_SMUD	2015	10	8.852
CA_SMUD	2015	11	9.56
CA_SMUD	2015	12	999999999
CA_SMUD	2025	1	1.3359
CA_SMUD	2025	2	1.6556
CA_SMUD	2025	3	2.0366
CA_SMUD	2025	4	2.5988
CA_SMUD	2025	5	4.1812
CA_SMUD	2025	6	6.5127
CA_SMUD	2025	7	6.6364
CA_SMUD	2025	8	7.8665
CA_SMUD	2025	9	9.1916
CA_SMUD	2025	10	9.8981
CA_SMUD	2025	11	999999999
CA_SMUD	2035	1	1.3359
CA_SMUD	2035	2	1.6556
CA_SMUD	2035	3	2.0366
CA_SMUD	2035	4	2.5988
CA_SMUD	2035	5	4.1812
CA_SMUD	2035	6	6.5127
CA_SMUD	2035	7	6.6364
CA_SMUD	2035	8	7.8665
CA_SMUD	2035	9	9.1916
CA_SMUD	2035	10	9.8981
CA_SMUD	2035	11	999999999
CA_SMUD	2045	1	1.3359
CA_SMUD	2045	2	1.6556
CA_SMUD	2045	3	2.0366
CA_SMUD	2045	4	2.5988
CA_SMUD	2045	5	4.1812
CA_SMUD	2045	6	6.5127
CA_SMUD	2045	7	6.6364
CA_SMUD	2045	8	7.8665
CA_SMUD	2045	9	9.1916
CA_SMUD	2045	10	9.8981
CA_SMUD	2045	11	999999999
