ampl.tab 4 1
project_id	load_area	technology	date	avg_capacity_factor_hydro
5000016	CA_IID	Hydro_NonPumped_EP	20501221	0.3418
5000017	CA_IID	Hydro_NonPumped_EP	20201214	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20201219	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20301208	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20301220	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20401207	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20401212	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20501206	0.3227
5000017	CA_IID	Hydro_NonPumped_EP	20501221	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20201214	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20201219	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20301208	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20301220	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20401207	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20401212	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20501206	0.3227
5000018	CA_IID	Hydro_NonPumped_EP	20501221	0.3227
5000019	CA_IID	Hydro_NonPumped_EP	20201214	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20201219	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20301208	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20301220	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20401207	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20401212	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20501206	0.2469
5000019	CA_IID	Hydro_NonPumped_EP	20501221	0.2469
5000020	CA_IID	Hydro_NonPumped_EP	20201214	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20201219	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20301208	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20301220	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20401207	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20401212	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20501206	0.0729
5000020	CA_IID	Hydro_NonPumped_EP	20501221	0.0729
5000021	CA_IID	Hydro_NonPumped_EP	20201214	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20201219	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20301208	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20301220	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20401207	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20401212	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20501206	0.0610
5000021	CA_IID	Hydro_NonPumped_EP	20501221	0.0610
5000022	CA_IID	Hydro_NonPumped_EP	20201214	0.2386
5000022	CA_IID	Hydro_NonPumped_EP	20201219	0.2386
