ampl.tab 4 1
project_id	la_id	technology	hour	capacity_factor
SIC35	S3	Hydro_RoR_EP	2016010806	0.598182
SIC36	S7	Hydro_RoR_EP	2016010806	0.366667
SIC37	S8	Hydro_RoR_EP	2016010806	0.544444
SIC38	S4	Hydro_RoR_EP	2016010806	1.01852
SIC39	S8	Hydro_RoR_EP	2016010806	1.05789
SIC4	S3	Hydro_RoR_EP	2016010806	0.721088
SIC40	S1	Hydro_RoR_EP	2016010806	0.632653
SIC41	S18	Hydro_RoR_EP	2016010806	0.636364
SIC42	S1	Hydro_RoR_EP	2016010806	0.622
SIC43	S7	Hydro_RoR_EP	2016010806	0.244898
SIC44	S1	Hydro_RoR_EP	2016010806	0.267857
SIC45	S4	Hydro_RoR_EP	2016010806	0.655738
SIC46	S4	Hydro_RoR_EP	2016010806	0.428571
SIC47	S8	Hydro_RoR_EP	2016010806	0.687783
SIC48	S3	Hydro_RoR_EP	2016010806	0
SIC49	S3	Hydro_RoR_EP	2016010806	0
SIC5	S3	Hydro_RoR_EP	2016010806	0.821883
SIC50	S4	Hydro_RoR_EP	2016010806	0.766667
SIC51	S8	Hydro_RoR_EP	2016010806	0
SIC52	S8	Hydro_RoR_EP	2016010806	0.428571
SIC53	S18	Hydro_RoR_EP	2016010806	0
SIC6	S4	Hydro_RoR_EP	2016010806	0.385965
SIC7	S4	Hydro_RoR_EP	2016010806	0.467742
SIC70	S7	Wind_EP	2016010806	0
SIC71	S7	Wind_EP	2016010806	0.0133333
SIC72	S10	Wind_EP	2016010806	0.287879
SIC73	S5	Wind_EP	2016010806	0.00434783
SIC74	S7	Wind_EP	2016010806	0.00208333
SIC8	S4	Hydro_RoR_EP	2016010806	0.580337
SIC9	S4	Hydro_RoR_EP	2016010806	0.816327
SIC1	S7	Hydro_RoR_EP	2016010808	0
SIC10	S4	Hydro_RoR_EP	2016010808	0.918182
SIC11	S4	Hydro_RoR_EP	2016010808	1
SIC12	S4	Hydro_RoR_EP	2016010808	0.580645
SIC13	S4	Hydro_RoR_EP	2016010808	0.947368
SIC14	S4	Hydro_RoR_EP	2016010808	0
SIC15	S4	Hydro_RoR_EP	2016010808	1
SIC16	S8	Hydro_RoR_EP	2016010808	1.01124
SIC17	S8	Hydro_RoR_EP	2016010808	0
