ampl.tab 1 32
technology	technology_id	min_online_year	fuel	construction_time_years	year_1_cost_fraction	year_2_cost_fraction	year_3_cost_fraction	year_4_cost_fraction	year_5_cost_fraction	year_6_cost_fraction	max_age_years	forced_outage_rate	scheduled_outage_rate	can_build_new	ccs	intermittent	resource_limited	baseload	flexible_baseload	dispatchable	cogen	min_build_capacity	competes_for_space	storage	storage_efficiency	max_store_rate	max_spinning_reserve_fraction_of_capacity	heat_rate_penalty_spinning_reserve	minimum_loading	deep_cycling_penalty	startup_mmbtu_per_mw	startup_cost_dollars_per_mw
Coal_Steam_Turbine_EP	18	2000	Coal	2	0.2	0.8	0	0	0	0	40	0.06	0.1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0.7	0.05	0	0
Gas_Steam_Turbine_EP	19	2000	Gas	2	0.2	0.8	0	0	0	0	40	0.1288	0.0915	0	0	0	1	0	0	1	0	0	0	0	0	0	0.31	0.04	0.4	0.04	8.92	10.3
CCGT_EP	20	2000	Gas	2	0.25	0.75	0	0	0	0	20	0.04	0.06	0	0	0	1	0	0	1	0	0	0	0	0	0	0.38	0.33	0.4	0.33	9.16	10.3
Geothermal_EP	21	2000	Geothermal	3	0.2	0.4	0.4	0	0	0	30	0.0075	0.0241	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Nuclear_EP	22	2000	Uranium	6	0.56	0.2	0.14	0.06	0.02	0.02	40	0.04	0.06	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Wind_EP	23	2000	Wind	2	0.05	0.95	0	0	0	0	30	0.05	0.006	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gas_Internal_Combustion_Engine_EP	24	2000	Gas	1	1	0	0	0	0	0	20	0.03	0.05	0	0	0	1	0	0	1	0	0	0	0	0	0	0.5	0.1	0	0	0.22	0.86
Commercial_PV	25	2010	Solar	1	1	0	0	0	0	0	20	0	0.02	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central_PV	26	2010	Solar	1	1	0	0	0	0	0	20	0	0.02	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CSP_Trough_No_Storage	27	2010	Solar	1	1	0	0	0	0	0	20	0.06	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Compressed_Air_Energy_Storage	28	2010	Gas	6	0.1	0.2	0.2	0.2	0.2	0.1	30	0.03	0.04	1	0	0	1	0	0	1	0	0	0	1	0.817	1.2	0.5	0.1	0	0	0	0.86
Gas_Combustion_Turbine_Cogen_EP	29	2000	Gas	1	1	0	0	0	0	0	20	0.03	0.05	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Coal_Steam_Turbine_Cogen_EP	30	2000	Coal	2	0.2	0.8	0	0	0	0	40	0.06	0.1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Steam_Turbine_Cogen_EP	31	2000	Gas	2	0.2	0.8	0	0	0	0	40	0.1288	0.0915	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
CCGT_Cogen_EP	32	2000	Gas	2	0.25	0.75	0	0	0	0	20	0.04	0.06	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Battery_Storage	33	2010	Storage	3	0.8	0.1	0.1	0	0	0	10	0.02	0.0055	1	0	0	0	0	0	0	0	0	0	1	0.75	1	0	0	0	0	0	0
CCGT_CCS	34	2020	Gas_CCS	2	0.25	0.75	0	0	0	0	20	0.04	0.06	1	1	0	0	0	0	1	0	0	0	0	0	0	0.38	0.33	0.4	0.33	9.16	10.3
Gas_Combustion_Turbine_CCS	35	2020	Gas_CCS	2	0.25	0.75	0	0	0	0	20	0.03	0.05	1	1	0	0	0	0	1	0	0	0	0	0	0	0.5	0.1	0	0	0.22	0.86
Bio_Gas_CCS	36	2020	Bio_Gas_CCS	1	1	0	0	0	0	0	20	0.11	0.04	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Biomass_IGCC_CCS	37	2020	Bio_Solid_CCS	2	0.25	0.75	0	0	0	0	40	0.09	0.076	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Coal_IGCC_CCS	38	2020	Coal_CCS	2	0.2	0.8	0	0	0	0	40	0.08	0.12	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.4	0.29	0	0
Coal_Steam_Turbine_CCS	39	2020	Coal_CCS	2	0.2	0.8	0	0	0	0	40	0.06	0.1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.4	0.05	0	0
Gas_Internal_Combustion_Engine_Cogen_EP	40	2000	Gas	1	1	0	0	0	0	0	20	0.03	0.05	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
DistillateFuelOil_Combustion_Turbine_EP	60	2000	DistillateFuelOil	1	1	0	0	0	0	0	20	0.03	0.05	0	0	0	1	0	0	1	0	0	0	0	0	0	0.5	0.1	0	0	0.22	0.86
DistillateFuelOil_Internal_Combustion_Engine_EP	61	2000	DistillateFuelOil	1	1	0	0	0	0	0	20	0.03	0.05	0	0	0	1	0	0	1	0	0	0	0	0	0	0.5	0.1	0	0	0.22	0.86
