ampl.tab 3 4
load_area	hydro_project_id	date	technology	technology_id	capacity_mw	avg_output
CA_PGE_N	1207959563	45051217	Hydro_NonPumped	15	5179.4	2392.8275
CA_PGE_N	1207959563	35051208	Hydro_NonPumped	15	5179.4	2392.8275
CA_PGE_N	1207959563	25051201	Hydro_NonPumped	15	5179.4	2392.8275
CA_PGE_N	1207959563	45051221	Hydro_NonPumped	15	5179.4	2392.8275
CA_PGE_N	1207959563	35051218	Hydro_NonPumped	15	5179.4	2392.8275
CA_PGE_N	1207959563	25051215	Hydro_NonPumped	15	5179.4	2392.8275
CA_PGE_N	1207959564	15041208	Hydro_Pumped	16	449.7	0.594207285805206
CA_PGE_N	1207959564	45051221	Hydro_Pumped	16	449.7	0
CA_PGE_N	1207959564	35051218	Hydro_Pumped	16	449.7	0
CA_PGE_N	1207959564	25051215	Hydro_Pumped	16	449.7	0
CA_PGE_N	1207959564	15051216	Hydro_Pumped	16	449.7	0
CA_PGE_N	1207959564	45051217	Hydro_Pumped	16	449.7	0
CA_PGE_N	1207959564	35051208	Hydro_Pumped	16	449.7	0
CA_PGE_N	1207959564	25051201	Hydro_Pumped	16	449.7	0
CA_PGE_S	1207959565	15041208	Hydro_NonPumped	15	47	16.1343682795699
CA_PGE_S	1207959565	15051216	Hydro_NonPumped	15	47	21.0495967741935
CA_PGE_S	1207959565	45051217	Hydro_NonPumped	15	47	21.0495967741935
CA_PGE_S	1207959565	35051208	Hydro_NonPumped	15	47	21.0495967741935
CA_PGE_S	1207959565	25051201	Hydro_NonPumped	15	47	21.0495967741935
CA_PGE_S	1207959565	45051221	Hydro_NonPumped	15	47	21.0495967741935
CA_PGE_S	1207959565	35051218	Hydro_NonPumped	15	47	21.0495967741935
CA_PGE_S	1207959565	25051215	Hydro_NonPumped	15	47	21.0495967741935
CA_SCE_CEN	1207959566	15041208	Hydro_NonPumped	15	582.6	257.321599462366
CA_SCE_CEN	1207959566	45051221	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959566	35051218	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959566	25051215	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959566	15051216	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959566	45051217	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959566	35051208	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959566	25051201	Hydro_NonPumped	15	582.6	215.349623655914
CA_SCE_CEN	1207959567	15041208	Hydro_Pumped	16	1440	23.0151361540517
CA_SCE_CEN	1207959567	45051217	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_CEN	1207959567	35051208	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_CEN	1207959567	25051201	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_CEN	1207959567	45051221	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_CEN	1207959567	35051218	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_CEN	1207959567	25051215	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_CEN	1207959567	15051216	Hydro_Pumped	16	1440	45.5385880456569
CA_SCE_S	1207959568	15041208	Hydro_NonPumped	15	324.4	166.645416666667
CA_SCE_S	1207959568	45051221	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_S	1207959568	35051218	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_S	1207959568	25051215	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_S	1207959568	15051216	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_S	1207959568	45051217	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_S	1207959568	35051208	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_S	1207959568	25051201	Hydro_NonPumped	15	324.4	148.916666666667
CA_SCE_SE	1207959569	15041208	Hydro_NonPumped	15	139.5	26.0815456989247
CA_SCE_SE	1207959569	45051217	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_SE	1207959569	35051208	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_SE	1207959569	25051201	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_SE	1207959569	45051221	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_SE	1207959569	35051218	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_SE	1207959569	25051215	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_SE	1207959569	15051216	Hydro_NonPumped	15	139.5	35.3798252688172
CA_SCE_VLY	1207959570	15041208	Hydro_NonPumped	15	38.5	7.96391129032258
CA_SCE_VLY	1207959570	35051218	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SCE_VLY	1207959570	25051215	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SCE_VLY	1207959570	15051216	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SCE_VLY	1207959570	45051217	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SCE_VLY	1207959570	35051208	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SCE_VLY	1207959570	25051201	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SCE_VLY	1207959570	45051221	Hydro_NonPumped	15	38.5	9.73447580645161
CA_SDGE	1207959571	15041208	Hydro_NonPumped	15	3.9	0.212567204301075
CA_SDGE	1207959571	45051217	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SDGE	1207959571	35051208	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SDGE	1207959571	25051201	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SDGE	1207959571	45051221	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SDGE	1207959571	35051218	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SDGE	1207959571	25051215	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SDGE	1207959571	15051216	Hydro_NonPumped	15	3.9	0.899825268817204
CA_SMUD	1207959572	15041208	Hydro_NonPumped	15	231.7	35.4825268817204
CA_SMUD	1207959572	35051218	Hydro_NonPumped	15	231.7	83.744623655914
CA_SMUD	1207959572	25051215	Hydro_NonPumped	15	231.7	83.744623655914
CA_SMUD	1207959572	15051216	Hydro_NonPumped	15	231.7	83.744623655914
CA_SMUD	1207959572	45051217	Hydro_NonPumped	15	231.7	83.744623655914
CA_SMUD	1207959572	35051208	Hydro_NonPumped	15	231.7	83.744623655914
CA_SMUD	1207959572	25051201	Hydro_NonPumped	15	231.7	83.744623655914
CA_SMUD	1207959572	45051221	Hydro_NonPumped	15	231.7	83.744623655914
CO_DEN	1207959573	15041208	Hydro_NonPumped	15	212.7	68.4982258064516
CO_DEN	1207959573	35051208	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959573	25051201	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959573	45051221	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959573	35051218	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959573	25051215	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959573	15051216	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959573	45051217	Hydro_NonPumped	15	212.7	1.8615188172043
CO_DEN	1207959574	15041208	Hydro_Pumped	16	8.5	0.894719623622687
CO_DEN	1207959574	25051215	Hydro_Pumped	16	8.5	0.26464426580292
CO_DEN	1207959574	15051216	Hydro_Pumped	16	8.5	0.26464426580292
CO_DEN	1207959574	45051217	Hydro_Pumped	16	8.5	0.26464426580292
CO_DEN	1207959574	35051208	Hydro_Pumped	16	8.5	0.26464426580292
CO_DEN	1207959574	25051201	Hydro_Pumped	16	8.5	0.26464426580292
CO_DEN	1207959574	45051221	Hydro_Pumped	16	8.5	0.26464426580292
CO_DEN	1207959574	35051218	Hydro_Pumped	16	8.5	0.26464426580292
CO_E	1207959575	15041208	Hydro_NonPumped	15	29	5.32108870967742
CO_E	1207959575	35051208	Hydro_NonPumped	15	29	6.59413978494624
CO_E	1207959575	25051201	Hydro_NonPumped	15	29	6.59413978494624
CO_E	1207959575	45051221	Hydro_NonPumped	15	29	6.59413978494624
CO_E	1207959575	35051218	Hydro_NonPumped	15	29	6.59413978494624
CO_E	1207959575	25051215	Hydro_NonPumped	15	29	6.59413978494624
CO_E	1207959575	15051216	Hydro_NonPumped	15	29	6.59413978494624
CO_E	1207959575	45051217	Hydro_NonPumped	15	29	6.59413978494624
CO_NW	1207959576	15041208	Hydro_Pumped	16	554	1.27103344721716
CO_NW	1207959576	25051215	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959576	15051216	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959576	45051217	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959576	35051208	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959576	25051201	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959576	45051221	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959576	35051218	Hydro_Pumped	16	554	0.47925359140166
CO_NW	1207959577	15041208	Hydro_NonPumped	15	86	17.3286559139785
CO_NW	1207959577	25051201	Hydro_NonPumped	15	86	27.1418279569892
CO_NW	1207959577	45051221	Hydro_NonPumped	15	86	27.1418279569892
CO_NW	1207959577	35051218	Hydro_NonPumped	15	86	27.1418279569892
CO_NW	1207959577	25051215	Hydro_NonPumped	15	86	27.1418279569892
CO_NW	1207959577	15051216	Hydro_NonPumped	15	86	27.1418279569892
CO_NW	1207959577	45051217	Hydro_NonPumped	15	86	27.1418279569892
CO_NW	1207959577	35051208	Hydro_NonPumped	15	86	27.1418279569892
CO_SW	1207959578	15041208	Hydro_NonPumped	15	326.8	26.3682258064516
CO_SW	1207959578	15051216	Hydro_NonPumped	15	326.8	43.932876344086
CO_SW	1207959578	45051217	Hydro_NonPumped	15	326.8	43.932876344086
CO_SW	1207959578	35051208	Hydro_NonPumped	15	326.8	43.932876344086
CO_SW	1207959578	25051201	Hydro_NonPumped	15	326.8	43.932876344086
CO_SW	1207959578	45051221	Hydro_NonPumped	15	326.8	43.932876344086
CO_SW	1207959578	35051218	Hydro_NonPumped	15	326.8	43.932876344086
CO_SW	1207959578	25051215	Hydro_NonPumped	15	326.8	43.932876344086
ID_E	1207959579	15041208	Hydro_NonPumped	15	382.2	34.493561827957
ID_E	1207959579	25051201	Hydro_NonPumped	15	382.2	52.8274596774193
ID_E	1207959579	45051221	Hydro_NonPumped	15	382.2	52.8274596774193
ID_E	1207959579	35051218	Hydro_NonPumped	15	382.2	52.8274596774193
ID_E	1207959579	25051215	Hydro_NonPumped	15	382.2	52.8274596774193
ID_E	1207959579	15051216	Hydro_NonPumped	15	382.2	52.8274596774193
ID_E	1207959579	45051217	Hydro_NonPumped	15	382.2	52.8274596774193
ID_E	1207959579	35051208	Hydro_NonPumped	15	382.2	52.8274596774193
ID_S_OR_E	1207959580	15041208	Hydro_NonPumped	15	1872.6	587.431693548387
ID_S_OR_E	1207959580	15051216	Hydro_NonPumped	15	1872.6	741.164301075269
ID_S_OR_E	1207959580	45051217	Hydro_NonPumped	15	1872.6	741.164301075269
ID_S_OR_E	1207959580	35051208	Hydro_NonPumped	15	1872.6	741.164301075269
ID_S_OR_E	1207959580	25051201	Hydro_NonPumped	15	1872.6	741.164301075269
ID_S_OR_E	1207959580	45051221	Hydro_NonPumped	15	1872.6	741.164301075269
ID_S_OR_E	1207959580	35051218	Hydro_NonPumped	15	1872.6	741.164301075269
ID_S_OR_E	1207959580	25051215	Hydro_NonPumped	15	1872.6	741.164301075269
MT_NE	1207959581	15041208	Hydro_NonPumped	15	239	162.239139784946
MT_NE	1207959581	45051221	Hydro_NonPumped	15	239	165.357768817204
MT_NE	1207959581	35051218	Hydro_NonPumped	15	239	165.357768817204
MT_NE	1207959581	25051215	Hydro_NonPumped	15	239	165.357768817204
MT_NE	1207959581	15051216	Hydro_NonPumped	15	239	165.357768817204
MT_NE	1207959581	45051217	Hydro_NonPumped	15	239	165.357768817204
MT_NE	1207959581	35051208	Hydro_NonPumped	15	239	165.357768817204
MT_NE	1207959581	25051201	Hydro_NonPumped	15	239	165.357768817204
MT_NW	1207959582	15041208	Hydro_NonPumped	15	1799.6	895.33501344086
MT_NW	1207959582	45051217	Hydro_NonPumped	15	1799.6	783.70872311828
MT_NW	1207959582	35051208	Hydro_NonPumped	15	1799.6	783.70872311828
MT_NW	1207959582	25051201	Hydro_NonPumped	15	1799.6	783.70872311828
MT_NW	1207959582	45051221	Hydro_NonPumped	15	1799.6	783.70872311828
MT_NW	1207959582	35051218	Hydro_NonPumped	15	1799.6	783.70872311828
MT_NW	1207959582	25051215	Hydro_NonPumped	15	1799.6	783.70872311828
MT_NW	1207959582	15051216	Hydro_NonPumped	15	1799.6	783.70872311828
MT_SE	1207959583	15041208	Hydro_NonPumped	15	301.6	51.9205241935484
MT_SE	1207959583	45051221	Hydro_NonPumped	15	301.6	78.942190860215
MT_SE	1207959583	35051218	Hydro_NonPumped	15	301.6	78.942190860215
MT_SE	1207959583	25051215	Hydro_NonPumped	15	301.6	78.942190860215
MT_SE	1207959583	15051216	Hydro_NonPumped	15	301.6	78.942190860215
MT_SE	1207959583	45051217	Hydro_NonPumped	15	301.6	78.942190860215
MT_SE	1207959583	35051208	Hydro_NonPumped	15	301.6	78.942190860215
MT_SE	1207959583	25051201	Hydro_NonPumped	15	301.6	78.942190860215
MT_SW	1207959584	15041208	Hydro_NonPumped	15	93.1	62.8263978494624
MT_SW	1207959584	45051217	Hydro_NonPumped	15	93.1	63.7314112903226
